"refinery:gas" "lyrics:songwriter" "books:scholar" "words:letters" "books:scholar" "lyrics:songwriter"
"bee:beehive" "lyrics:songwriter" "proprietor:employees" "jug:milk" "proprietor:employees" "bee:beehive"
"house:residents" "college:teachers" "proprietor:employees" "tree:bark" "tree:bark" "college:teachers"
"teacher:students" "bird:wings" "refinery:gas" "songwriter:lyrics" "teacher:students" "refinery:gas"
"expert:experience" "teacher:chalk" "mall:shops" "scholar:books" "mall:shops" "scholar:books"
"professor:students" "shrubs:roots" "lawyer:clients" "books:scholar" "professor:students" "books:scholar"
"garden:vegetables" "students:teacher" "mother:children" "doctor:phd" "garden:vegetables" "students:teacher"
"gas:refinery" "vintner:wine" "library:books" "bee:beehive" "vintner:wine" "bee:beehive"
"bird:feathers" "librarian:books" "mansion:rooms" "musician:music" "mansion:rooms" "librarian:books"
"lyrics:songwriter" "farmer:crops" "words:letters" "baker:bread" "baker:bread" "farmer:crops"
"doctor:degree" "bank:money" "investor:investments" "employee:job" "bank:money" "investor:investments"
"mammal:hair" "letters:words" "homeowner:home" "homeowner:door" "homeowner:home" "homeowner:door"
"farmer:crops" "bird:feathers" "students:teacher" "scholar:books" "students:teacher" "scholar:books"
"songwriter:lyrics" "college:teachers" "teacher:students" "doctor:phd" "teacher:students" "college:teachers"
"house:residents" "bee:beehive" "lyrics:songwriter" "mall:shops" "mall:shops" "bee:beehive"
"refinery:gas" "garden:vegetables" "homeowner:home" "shrubs:roots" "garden:vegetables" "homeowner:home"
"librarian:books" "professor:students" "homeowner:door" "baker:bread" "librarian:books" "baker:bread"
"teacher:chalk" "mansion:rooms" "library:books" "letters:words" "mansion:rooms" "library:books"
"gas:refinery" "musician:music" "vintner:wine" "tree:bark" "vintner:wine" "musician:music"
"mammal:hair" "investor:investments" "expert:experience" "words:letters" "investor:investments" "expert:experience"
"bird:wings" "employee:job" "mother:children" "jug:milk" "employee:job" "mother:children"
"doctor:degree" "lawyer:clients" "books:scholar" "bank:money" "bank:money" "books:scholar"
"proprietor:employees" "songwriter:lyrics" "shrubs:roots" "lyrics:songwriter" "proprietor:employees" "shrubs:roots"
"letters:words" "refinery:gas" "college:teachers" "doctor:degree" "college:teachers" "doctor:degree"
"investor:investments" "library:books" "homeowner:door" "tree:bark" "tree:bark" "investor:investments"
"proprietor:employees" "expert:experience" "mansion:rooms" "mother:children" "mansion:rooms" "expert:experience"
"bird:wings" "farmer:crops" "homeowner:home" "teacher:chalk" "homeowner:home" "farmer:crops"
"vintner:wine" "books:scholar" "teacher:students" "students:teacher" "vintner:wine" "students:teacher"
"lawyer:clients" "employee:job" "mammal:hair" "scholar:books" "scholar:books" "employee:job"
"bank:money" "librarian:books" "words:letters" "bird:feathers" "librarian:books" "bank:money"
"musician:music" "gas:refinery" "doctor:phd" "professor:students" "musician:music" "professor:students"
"jug:milk" "baker:bread" "garden:vegetables" "house:residents" "garden:vegetables" "baker:bread"
"bee:beehive" "mall:shops" "garden:vegetables" "mother:children" "garden:vegetables" "mall:shops"
