"refinery:gas" "lyrics:songwriter" "books:scholar" "words:letters" "lyrics:songwriter" "words:letters"
"employee:job" "doctor:degree" "songwriter:lyrics" "scholar:books" "scholar:books" "employee:job"
"professor:students" "expert:experience" "mother:children" "books:scholar" "expert:experience" "mother:children"
"bank:money" "teacher:chalk" "shrubs:roots" "teacher:students" "teacher:students" "shrubs:roots"
"baker:bread" "homeowner:home" "homeowner:door" "bird:wings" "baker:bread" "homeowner:home"
"mall:shops" "refinery:gas" "librarian:books" "house:residents" "librarian:books" "house:residents"
"investor:investments" "teacher:chalk" "bird:feathers" "garden:vegetables" "garden:vegetables" "investor:investments"
"students:teacher" "words:letters" "refinery:gas" "gas:refinery" "words:letters" "refinery:gas"
"expert:experience" "librarian:books" "mansion:rooms" "vintner:wine" "librarian:books" "vintner:wine"
"farmer:crops" "scholar:books" "homeowner:home" "tree:bark" "scholar:books" "tree:bark"
"employee:job" "letters:words" "bird:wings" "mammal:hair" "letters:words" "employee:job"
"teacher:students" "professor:students" "house:residents" "investor:investments" "teacher:students" "house:residents"
"mall:shops" "songwriter:lyrics" "proprietor:employees" "bank:money" "bank:money" "proprietor:employees"
"college:teachers" "mother:children" "baker:bread" "lawyer:clients" "lawyer:clients" "baker:bread"
"shrubs:roots" "jug:milk" "musician:music" "lyrics:songwriter" "shrubs:roots" "musician:music"
"library:books" "bee:beehive" "books:scholar" "doctor:degree" "bee:beehive" "doctor:degree"
"doctor:phd" "homeowner:door" "mansion:rooms" "songwriter:lyrics" "homeowner:door" "mansion:rooms"
"homeowner:door" "garden:vegetables" "farmer:crops" "employee:job" "garden:vegetables" "employee:job"
"students:teacher" "teacher:chalk" "musician:music" "jug:milk" "musician:music" "jug:milk"
"gas:refinery" "homeowner:home" "scholar:books" "books:scholar" "scholar:books" "homeowner:home"
"expert:experience" "baker:bread" "mother:children" "lawyer:clients" "lawyer:clients" "baker:bread"
"bank:money" "doctor:degree" "professor:students" "doctor:phd" "bank:money" "doctor:degree"
"college:teachers" "librarian:books" "bird:feathers" "mammal:hair" "librarian:books" "college:teachers"
"mall:shops" "letters:words" "house:residents" "tree:bark" "letters:words" "tree:bark"
"vintner:wine" "refinery:gas" "library:books" "bird:wings" "vintner:wine" "bird:wings"
"shrubs:roots" "investor:investments" "teacher:students" "words:letters" "teacher:students" "shrubs:roots"
"bee:beehive" "lyrics:songwriter" "proprietor:employees" "jug:milk" "proprietor:employees" "bee:beehive"
"house:residents" "college:teachers" "proprietor:employees" "tree:bark" "proprietor:employees" "tree:bark"
"teacher:students" "bird:wings" "refinery:gas" "songwriter:lyrics" "teacher:students" "bird:wings"
"expert:experience" "teacher:chalk" "mall:shops" "scholar:books" "scholar:books" "expert:experience"
"professor:students" "shrubs:roots" "lawyer:clients" "books:scholar" "lawyer:clients" "shrubs:roots"
"garden:vegetables" "students:teacher" "mother:children" "doctor:phd" "garden:vegetables" "mother:children"
"gas:refinery" "vintner:wine" "library:books" "bee:beehive" "vintner:wine" "bee:beehive"
"bird:feathers" "librarian:books" "mansion:rooms" "musician:music" "librarian:books" "musician:music"
"lyrics:songwriter" "farmer:crops" "words:letters" "baker:bread" "baker:bread" "farmer:crops"
"doctor:degree" "bank:money" "investor:investments" "employee:job" "bank:money" "employee:job"
"mammal:hair" "letters:words" "homeowner:home" "homeowner:door" "letters:words" "homeowner:home"
"farmer:crops" "bird:feathers" "students:teacher" "scholar:books" "scholar:books" "farmer:crops"
"songwriter:lyrics" "college:teachers" "teacher:students" "doctor:phd" "teacher:students" "college:teachers"
"house:residents" "bee:beehive" "lyrics:songwriter" "mall:shops" "house:residents" "bee:beehive"
"refinery:gas" "garden:vegetables" "homeowner:home" "shrubs:roots" "garden:vegetables" "shrubs:roots"
"librarian:books" "professor:students" "homeowner:door" "baker:bread" "librarian:books" "baker:bread"
"teacher:chalk" "mansion:rooms" "library:books" "letters:words" "letters:words" "library:books"
"gas:refinery" "musician:music" "vintner:wine" "tree:bark" "musician:music" "tree:bark"
"mammal:hair" "investor:investments" "expert:experience" "words:letters" "expert:experience" "investor:investments"
"bird:wings" "employee:job" "mother:children" "jug:milk" "employee:job" "bird:wings"
"doctor:degree" "lawyer:clients" "books:scholar" "bank:money" "lawyer:clients" "bank:money"
"proprietor:employees" "songwriter:lyrics" "shrubs:roots" "lyrics:songwriter" "shrubs:roots" "proprietor:employees"
"letters:words" "refinery:gas" "college:teachers" "doctor:degree" "letters:words" "college:teachers"
"investor:investments" "library:books" "homeowner:door" "tree:bark" "tree:bark" "investor:investments"
"proprietor:employees" "expert:experience" "mansion:rooms" "mother:children" "proprietor:employees" "expert:experience"
"bird:wings" "farmer:crops" "homeowner:home" "teacher:chalk" "homeowner:home" "bird:wings"
"vintner:wine" "books:scholar" "teacher:students" "students:teacher" "teacher:students" "vintner:wine"
"lawyer:clients" "employee:job" "mammal:hair" "scholar:books" "scholar:books" "lawyer:clients"
"bank:money" "librarian:books" "words:letters" "bird:feathers" "librarian:books" "bank:money"
"musician:music" "gas:refinery" "doctor:phd" "professor:students" "musician:music" "professor:students"
"jug:milk" "baker:bread" "garden:vegetables" "house:residents" "garden:vegetables" "baker:bread"
"bee:beehive" "mall:shops" "garden:vegetables" "mother:children" "garden:vegetables" "bee:beehive"
