"office:desk" "garage:car" "bed:hotel" "store:cart" "garage:car" "office:desk"
"leaf:chlorophyll" "racetrack:cars" "service:hymnal" "garage:wrench" "racetrack:cars" "garage:wrench"
"car:tires" "mechanic:garage" "office:desk" "party:cake" "party:cake" "car:tires"
"playground:slide" "bedroom:mattress" "kitchen:pot" "mattress:bedroom" "playground:slide" "mattress:bedroom"
"office:computer" "firehouse:pole" "kitchen:oven" "hotel:bed" "firehouse:pole" "office:computer"
"wedding:ring" "war:weapon" "hospital:bed" "garage:car" "garage:car" "wedding:ring"
"racetrack:cars" "playground:slide" "bank:dollar" "hotel:bed" "playground:slide" "racetrack:cars"
"kitchen:pot" "bed:hotel" "mattress:bedroom" "library:book" "library:book" "bed:hotel"
"party:cake" "school:classroom" "office:computer" "firehouse:pole" "party:cake" "school:classroom"
"church:pew" "kitchen:potholder" "cards:casino" "bedroom:mattress" "kitchen:potholder" "cards:casino"
"laboratory:reagents" "sew:needle" "racetrack:saddle" "casino:cards" "sew:needle" "racetrack:saddle"
"war:weapon" "kitchen:oven" "sport:ball" "house:kitchen" "kitchen:oven" "house:kitchen"
"office:telephone" "mechanic:garage" "hospital:bed" "store:cart" "mechanic:garage" "office:telephone"
"garage:car" "service:hymnal" "ball:sport" "garage:wrench" "garage:car" "garage:wrench"
"wedding:ring" "lavatory:sink" "garage:mechanic" "car:tires" "car:tires" "wedding:ring"
"toolbox:hammer" "church:hymnal" "office:desk" "birthday:present" "birthday:present" "office:desk"
"class:teacher" "leaf:chlorophyll" "house:kitchen" "birthday:present" "class:teacher" "birthday:present"
"firehouse:pole" "mechanic:garage" "garage:wrench" "church:pew" "mechanic:garage" "firehouse:pole"
"playground:slide" "hotel:bed" "class:teacher" "office:computer" "class:teacher" "playground:slide"
"bed:hotel" "kitchen:pot" "church:hymnal" "kitchen:oven" "bed:hotel" "kitchen:oven"
"war:weapon" "school:classroom" "office:desk" "bedroom:mattress" "office:desk" "school:classroom"
"toolbox:hammer" "office:telephone" "kitchen:potholder" "party:cake" "party:cake" "kitchen:potholder"
"bank:dollar" "hospital:bed" "car:tires" "cards:casino" "car:tires" "cards:casino"
"mattress:bedroom" "racetrack:saddle" "store:cart" "sew:needle" "sew:needle" "racetrack:saddle"
"leaf:chlorophyll" "ball:sport" "casino:cards" "garage:car" "casino:cards" "garage:car"
"library:book" "sport:ball" "service:hymnal" "lavatory:sink" "library:book" "service:hymnal"
"wedding:ring" "racetrack:cars" "garage:mechanic" "laboratory:reagents" "racetrack:cars" "wedding:ring"
"class:teacher" "kitchen:pot" "cards:casino" "party:cake" "party:cake" "class:teacher"
"firehouse:pole" "church:pew" "bank:dollar" "office:computer" "bank:dollar" "firehouse:pole"
"racetrack:saddle" "mattress:bedroom" "garage:mechanic" "casino:cards" "racetrack:saddle" "casino:cards"
"laboratory:reagents" "ball:sport" "church:hymnal" "racetrack:cars" "racetrack:cars" "laboratory:reagents"
"wedding:ring" "office:telephone" "sport:ball" "library:book" "library:book" "wedding:ring"
"playground:slide" "kitchen:potholder" "mechanic:garage" "lavatory:sink" "kitchen:potholder" "playground:slide"
"garage:car" "birthday:present" "war:weapon" "service:hymnal" "garage:car" "birthday:present"
"car:tires" "toolbox:hammer" "office:desk" "school:classroom" "car:tires" "office:desk"
"hotel:bed" "house:kitchen" "store:cart" "bed:hotel" "bed:hotel" "store:cart"
"bedroom:mattress" "kitchen:oven" "hospital:bed" "leaf:chlorophyll" "kitchen:oven" "bedroom:mattress"
"sew:needle" "garage:wrench" "school:classroom" "office:computer" "sew:needle" "school:classroom"
"garage:mechanic" "bedroom:mattress" "car:tires" "house:kitchen" "car:tires" "house:kitchen"
"mechanic:garage" "cards:casino" "church:pew" "toolbox:hammer" "mechanic:garage" "cards:casino"
"store:cart" "sport:ball" "hotel:bed" "library:book" "library:book" "store:cart"
"bed:hotel" "office:telephone" "kitchen:pot" "kitchen:potholder" "kitchen:potholder" "bed:hotel"
"playground:slide" "garage:wrench" "racetrack:saddle" "hospital:bed" "playground:slide" "racetrack:saddle"
"class:teacher" "war:weapon" "racetrack:cars" "mattress:bedroom" "class:teacher" "racetrack:cars"
"birthday:present" "church:hymnal" "garage:car" "service:hymnal" "garage:car" "birthday:present"
"sew:needle" "lavatory:sink" "casino:cards" "ball:sport" "sew:needle" "casino:cards"
"firehouse:pole" "bank:dollar" "kitchen:oven" "party:cake" "party:cake" "bank:dollar"
"laboratory:reagents" "leaf:chlorophyll" "wedding:ring" "office:desk" "office:desk" "wedding:ring"
