"sensitivity:boorish" "careful:reckless" "inferior:best" "forgiving:vengeful" "forgiving:vengeful" "sensitivity:boorish"
"ecstasy:sad" "solid:liquid" "cold:fire" "sensitivity:boorish" "cold:fire" "solid:liquid"
"best:inferior" "dream:consciousness" "violence:love" "mute:talkative" "violence:love" "best:inferior"
"bounty:scarce" "enthusiasm:apathetic" "beauty:unpleasant" "object:intangible" "object:intangible" "bounty:scarce"
"hungry:satiety" "alacrity:reluctant" "melancholy:jubilation" "liquid:solid" "liquid:solid" "melancholy:jubilation"
"inferior:best" "baby:mature" "tidy:messy" "sight:invisible" "sight:invisible" "baby:mature"
"cold:fire" "classic:trendy" "liar:honest" "ecstasy:sad" "cold:fire" "classic:trendy"
"color:invisible" "darkness:light" "charisma:bland" "height:low" "darkness:light" "charisma:bland"
"forgiving:vengeful" "violence:love" "beauty:unpleasant" "hungry:satiety" "violence:love" "forgiving:vengeful"
"speed:slow" "baby:mature" "empty:full" "empathetic:killer" "empathetic:killer" "empty:full"
"alacrity:reluctant" "enthusiasm:apathetic" "fire:cold" "mute:talkative" "fire:cold" "mute:talkative"
"heat:cold" "object:tangible" "intelligence:stupid" "object:intangible" "object:tangible" "intelligence:stupid"
"liquid:solid" "solid:liquid" "careful:reckless" "voice:mute" "solid:liquid" "liquid:solid"
"dream:consciousness" "melancholy:jubilation" "sight:invisible" "integrity:dishonest" "sight:invisible" "integrity:dishonest"
"best:inferior" "inferior:best" "rainbow:monochromatic" "honest:liar" "best:inferior" "honest:liar"
"love:hating" "bounty:scarce" "tidy:messy" "diseased:health" "love:hating" "diseased:health"
"zealot:disinclined" "killer:empathetic" "sensitivity:boorish" "coward:courageous" "coward:courageous" "zealot:disinclined"
