"art:abstract" "bread:wheat" "pet:dog" "dog:pet" "dog:pet" "bread:wheat"
"oak:tree" "weapon:spear" "bread:wheat" "school:university" "weapon:spear" "school:university"
"clothing:shirt" "tree:oak" "jewelry:ring" "color:red" "color:red" "jewelry:ring"
"tree:ash" "fruit:grape" "art:abstract" "wheat:bread" "tree:ash" "fruit:grape"
"pet:dog" "insect:ant" "dollar:currency" "weather:rain" "insect:ant" "pet:dog"
"sweater:knit" "color:red" "footwear:boot" "insect:ant" "footwear:boot" "sweater:knit"
"dog:pet" "furniture:couch" "bush:azalea" "dog:chihuahua" "furniture:couch" "dog:pet"
"bird:robin" "politician:senator" "wheat:bread" "jewelry:ring" "bird:robin" "jewelry:ring"
"car:mustang" "pet:dog" "mammal:porpoise" "automobile:van" "automobile:van" "car:mustang"
"fruit:grape" "clothing:shirt" "bread:wheat" "animal:carabao" "animal:carabao" "fruit:grape"
"dollar:currency" "weapon:spear" "furniture:chair" "art:abstract" "weapon:spear" "art:abstract"
"appliance:refrigerator" "bird:swan" "dog:poodle" "rodent:mouse" "bird:swan" "appliance:refrigerator"
"hair:brown" "school:university" "couch:furniture" "tree:ash" "tree:ash" "school:university"
"oak:tree" "vegetable:carrot" "tree:oak" "currency:dollar" "oak:tree" "currency:dollar"
"bush:astilbe" "animal:pig" "pen:ballpoint" "song:opera" "song:opera" "animal:pig"
"bush:astilbe" "bread:wheat" "couch:furniture" "oak:tree" "oak:tree" "bread:wheat"
"tree:ash" "wheat:bread" "dog:chihuahua" "clothing:shirt" "tree:ash" "wheat:bread"
"tree:oak" "dollar:currency" "dog:poodle" "bush:azalea" "bush:azalea" "tree:oak"
"furniture:couch" "sweater:knit" "footwear:boot" "furniture:chair" "footwear:boot" "sweater:knit"
"animal:pig" "pen:ballpoint" "car:mustang" "art:abstract" "car:mustang" "animal:pig"
"color:red" "jewelry:ring" "politician:senator" "bird:robin" "bird:robin" "color:red"
"pet:dog" "fruit:grape" "insect:ant" "rodent:mouse" "insect:ant" "rodent:mouse"
"dog:pet" "hair:brown" "weapon:spear" "currency:dollar" "weapon:spear" "hair:brown"
"school:university" "vegetable:carrot" "song:opera" "bird:swan" "school:university" "song:opera"
"animal:carabao" "appliance:refrigerator" "mammal:porpoise" "weather:rain" "appliance:refrigerator" "mammal:porpoise"
"automobile:van" "couch:furniture" "color:red" "rodent:mouse" "automobile:van" "color:red"
"tree:ash" "furniture:couch" "weapon:spear" "pet:dog" "tree:ash" "weapon:spear"
"appliance:refrigerator" "sweater:knit" "dog:poodle" "tree:oak" "sweater:knit" "appliance:refrigerator"
"fruit:grape" "politician:senator" "insect:ant" "oak:tree" "insect:ant" "oak:tree"
"art:abstract" "mammal:porpoise" "footwear:boot" "hair:brown" "footwear:boot" "mammal:porpoise"
"automobile:van" "bird:swan" "pen:ballpoint" "animal:pig" "automobile:van" "bird:swan"
"bird:robin" "bush:astilbe" "car:mustang" "dollar:currency" "car:mustang" "bird:robin"
"dog:pet" "clothing:shirt" "bush:azalea" "jewelry:ring" "jewelry:ring" "dog:pet"
"currency:dollar" "weather:rain" "wheat:bread" "vegetable:carrot" "currency:dollar" "wheat:bread"
"school:university" "animal:carabao" "bread:wheat" "furniture:chair" "school:university" "animal:carabao"
"dog:chihuahua" "song:opera" "bird:swan" "furniture:chair" "song:opera" "bird:swan"
"appliance:refrigerator" "bush:astilbe" "vegetable:carrot" "bread:wheat" "appliance:refrigerator" "bread:wheat"
"pen:ballpoint" "dog:chihuahua" "insect:ant" "jewelry:ring" "insect:ant" "jewelry:ring"
"automobile:van" "oak:tree" "song:opera" "footwear:boot" "automobile:van" "footwear:boot"
"dog:poodle" "weapon:spear" "school:university" "mammal:porpoise" "weapon:spear" "school:university"
"tree:ash" "tree:oak" "dog:pet" "pet:dog" "tree:ash" "dog:pet"
"art:abstract" "couch:furniture" "sweater:knit" "car:mustang" "sweater:knit" "car:mustang"
"animal:pig" "animal:carabao" "color:red" "weather:rain" "animal:pig" "color:red"
"wheat:bread" "currency:dollar" "fruit:grape" "bush:azalea" "currency:dollar" "fruit:grape"
"bird:robin" "rodent:mouse" "politician:senator" "furniture:couch" "furniture:couch" "bird:robin"
"dollar:currency" "clothing:shirt" "hair:brown" "bush:azalea" "hair:brown" "bush:azalea"
"currency:dollar" "animal:pig" "dollar:currency" "bird:swan" "bird:swan" "animal:pig"
"bird:robin" "dog:chihuahua" "song:opera" "school:university" "school:university" "song:opera"
"mammal:porpoise" "bush:astilbe" "tree:oak" "insect:ant" "insect:ant" "mammal:porpoise"
"animal:carabao" "footwear:boot" "politician:senator" "automobile:van" "automobile:van" "footwear:boot"
"fruit:grape" "furniture:couch" "appliance:refrigerator" "pet:dog" "furniture:couch" "appliance:refrigerator"
"oak:tree" "weapon:spear" "pen:ballpoint" "furniture:chair" "weapon:spear" "oak:tree"
"bread:wheat" "car:mustang" "couch:furniture" "rodent:mouse" "car:mustang" "rodent:mouse"
"jewelry:ring" "tree:ash" "clothing:shirt" "art:abstract" "tree:ash" "jewelry:ring"
"color:red" "vegetable:carrot" "hair:brown" "weather:rain" "color:red" "hair:brown"
"wheat:bread" "sweater:knit" "dog:pet" "dog:poodle" "sweater:knit" "dog:pet"
"bird:swan" "sweater:knit" "appliance:refrigerator" "fruit:grape" "sweater:knit" "bird:swan"
"bird:robin" "dog:poodle" "pen:ballpoint" "insect:ant" "insect:ant" "bird:robin"
"bread:wheat" "vegetable:carrot" "song:opera" "tree:oak" "song:opera" "bread:wheat"
"currency:dollar" "hair:brown" "oak:tree" "wheat:bread" "oak:tree" "hair:brown"
"jewelry:ring" "automobile:van" "tree:ash" "weapon:spear" "automobile:van" "tree:ash"
"mammal:porpoise" "color:red" "rodent:mouse" "dollar:currency" "color:red" "mammal:porpoise"
"weather:rain" "animal:carabao" "footwear:boot" "clothing:shirt" "footwear:boot" "animal:carabao"
"dog:pet" "furniture:couch" "car:mustang" "bush:azalea" "car:mustang" "furniture:couch"
"politician:senator" "dog:chihuahua" "art:abstract" "bush:astilbe" "dog:chihuahua" "art:abstract"
"school:university" "furniture:chair" "couch:furniture" "pet:dog" "school:university" "couch:furniture"
"animal:pig" "jewelry:ring" "couch:furniture" "animal:carabao" "animal:pig" "jewelry:ring"
"pet:dog" "school:university" "fruit:grape" "rodent:mouse" "school:university" "rodent:mouse"
"dog:poodle" "color:red" "bush:astilbe" "insect:ant" "insect:ant" "color:red"
"animal:pig" "footwear:boot" "wheat:bread" "bush:azalea" "footwear:boot" "animal:pig"
"weapon:spear" "hair:brown" "dog:chihuahua" "vegetable:carrot" "weapon:spear" "hair:brown"
"mammal:porpoise" "sweater:knit" "weather:rain" "tree:ash" "tree:ash" "sweater:knit"
"bird:swan" "bread:wheat" "tree:oak" "clothing:shirt" "bird:swan" "bread:wheat"
"politician:senator" "dog:pet" "song:opera" "appliance:refrigerator" "song:opera" "appliance:refrigerator"
"art:abstract" "pen:ballpoint" "bird:robin" "dollar:currency" "bird:robin" "pen:ballpoint"
"car:mustang" "automobile:van" "currency:dollar" "oak:tree" "automobile:van" "car:mustang"
"furniture:chair" "furniture:couch" "mammal:porpoise" "bread:wheat" "furniture:couch" "mammal:porpoise"
