"clean:dirtied" "cold:frozen" "wounded:dead" "whole:halved" "wounded:dead" "cold:frozen"
"drink:drank" "pliable:twisted" "shattered:glass" "shiny:shined" "pliable:twisted" "shattered:glass"
"cured:sick" "flammable:lit" "soft:squeezed" "fragile:damaged" "flammable:lit" "cured:sick"
"fabric:sewn" "cold:frozen" "clean:dirtied" "kind:loving" "fabric:sewn" "cold:frozen"
"soft:cuddled" "wooden:burned" "evanescent:gone" "damaged:fragile" "soft:cuddled" "damaged:fragile"
"volatile:combustible" "artistic:creative" "broken:repaired" "fashionable:trendy" "fashionable:trendy" "volatile:combustible"
"creative:artistic" "photogenic:picture" "wounded:dead" "flexible:bent" "photogenic:picture" "flexible:bent"
"soft:squeezed" "kind:loving" "reparable:fixed" "evanescent:gone" "reparable:fixed" "kind:loving"
"cured:sick" "sick:cured" "soft:cuddled" "glass:shattered" "cured:sick" "glass:shattered"
"shattered:glass" "dusty:dusted" "clean:dirtied" "plastic:recycled" "shattered:glass" "dusty:dusted"
"cold:icy" "fabric:sewn" "wearable:worn" "wooden:burned" "fabric:sewn" "cold:icy"
"flammable:lit" "whole:halved" "shiny:shined" "elastic:stretched" "flammable:lit" "elastic:stretched"
"beautiful:photogenic" "fragile:damaged" "burned:wooden" "pliable:twisted" "pliable:twisted" "burned:wooden"
"doable:done" "light:carried" "cold:frozen" "fragrant:smelled" "doable:done" "light:carried"
"drink:drank" "sickness:curable" "wandering:lost" "damaged:fragile" "sickness:curable" "drink:drank"
"fragrant:smelled" "fragile:damaged" "evanescent:gone" "artistic:creative" "fragile:damaged" "artistic:creative"
"wooden:burned" "flammable:lit" "glass:shattered" "wandering:lost" "flammable:lit" "glass:shattered"
"cold:frozen" "volatile:combustible" "soft:squeezed" "photogenic:picture" "photogenic:picture" "volatile:combustible"
"shiny:shined" "flexible:bent" "wearable:worn" "shattered:glass" "shattered:glass" "flexible:bent"
"pliable:twisted" "soft:cuddled" "kind:loving" "beautiful:photogenic" "pliable:twisted" "soft:cuddled"
"wounded:dead" "light:carried" "clean:dirtied" "broken:repaired" "light:carried" "broken:repaired"
"whole:halved" "burned:wooden" "dusty:dusted" "doable:done" "doable:done" "burned:wooden"
"fabric:sewn" "elastic:stretched" "damaged:fragile" "drink:drank" "fabric:sewn" "elastic:stretched"
"sickness:curable" "creative:artistic" "fashionable:trendy" "sick:cured" "fashionable:trendy" "sickness:curable"
"plastic:recycled" "cold:icy" "reparable:fixed" "cured:sick" "cold:icy" "reparable:fixed"
"volatile:combustible" "fabric:sewn" "shiny:shined" "cured:sick" "fabric:sewn" "volatile:combustible"
"elastic:stretched" "sick:cured" "flexible:bent" "fashionable:trendy" "fashionable:trendy" "flexible:bent"
"artistic:creative" "wooden:burned" "dusty:dusted" "pliable:twisted" "pliable:twisted" "dusty:dusted"
"flammable:lit" "whole:halved" "creative:artistic" "evanescent:gone" "flammable:lit" "creative:artistic"
"glass:shattered" "light:carried" "cold:icy" "plastic:recycled" "light:carried" "cold:icy"
"fragrant:smelled" "drink:drank" "wandering:lost" "soft:cuddled" "drink:drank" "soft:cuddled"
"cold:frozen" "reparable:fixed" "sickness:curable" "wounded:dead" "sickness:curable" "reparable:fixed"
"beautiful:photogenic" "soft:squeezed" "damaged:fragile" "doable:done" "doable:done" "damaged:fragile"
"shattered:glass" "kind:loving" "fragile:damaged" "broken:repaired" "shattered:glass" "broken:repaired"
"photogenic:picture" "wearable:worn" "clean:dirtied" "burned:wooden" "burned:wooden" "photogenic:picture"
"fragrant:smelled" "clean:dirtied" "drink:drank" "evanescent:gone" "drink:drank" "clean:dirtied"
"sick:cured" "cold:icy" "kind:loving" "artistic:creative" "cold:icy" "artistic:creative"
"damaged:fragile" "wooden:burned" "shattered:glass" "doable:done" "doable:done" "shattered:glass"
"sickness:curable" "creative:artistic" "fragile:damaged" "cold:frozen" "sickness:curable" "fragile:damaged"
"fabric:sewn" "pliable:twisted" "whole:halved" "cured:sick" "pliable:twisted" "fabric:sewn"
"photogenic:picture" "light:carried" "flammable:lit" "flexible:bent" "flammable:lit" "photogenic:picture"
"beautiful:photogenic" "volatile:combustible" "glass:shattered" "fashionable:trendy" "fashionable:trendy" "volatile:combustible"
"soft:squeezed" "burned:wooden" "wearable:worn" "dusty:dusted" "burned:wooden" "dusty:dusted"
"elastic:stretched" "wandering:lost" "wounded:dead" "broken:repaired" "broken:repaired" "elastic:stretched"
"plastic:recycled" "soft:cuddled" "shiny:shined" "reparable:fixed" "reparable:fixed" "soft:cuddled"
"soft:squeezed" "kind:loving" "wearable:worn" "wandering:lost" "kind:loving" "soft:squeezed"
"cold:frozen" "clean:dirtied" "cold:icy" "shiny:shined" "cold:icy" "shiny:shined"
"broken:repaired" "fragrant:smelled" "soft:cuddled" "doable:done" "doable:done" "broken:repaired"
"plastic:recycled" "reparable:fixed" "fabric:sewn" "flammable:lit" "fabric:sewn" "flammable:lit"
"flexible:bent" "whole:halved" "light:carried" "fashionable:trendy" "fashionable:trendy" "light:carried"
"burned:wooden" "elastic:stretched" "cured:sick" "creative:artistic" "burned:wooden" "elastic:stretched"
"damaged:fragile" "dusty:dusted" "sick:cured" "pliable:twisted" "pliable:twisted" "dusty:dusted"
"sickness:curable" "evanescent:gone" "photogenic:picture" "glass:shattered" "photogenic:picture" "sickness:curable"
"wounded:dead" "shattered:glass" "fragile:damaged" "beautiful:photogenic" "shattered:glass" "wounded:dead"
"artistic:creative" "drink:drank" "wooden:burned" "volatile:combustible" "volatile:combustible" "drink:drank"
"volatile:combustible" "clean:dirtied" "plastic:recycled" "doable:done" "doable:done" "volatile:combustible"
"fabric:sewn" "photogenic:picture" "creative:artistic" "soft:cuddled" "fabric:sewn" "photogenic:picture"
"soft:squeezed" "whole:halved" "artistic:creative" "wearable:worn" "artistic:creative" "soft:squeezed"
"wandering:lost" "broken:repaired" "light:carried" "dusty:dusted" "light:carried" "broken:repaired"
"drink:drank" "fragile:damaged" "reparable:fixed" "kind:loving" "reparable:fixed" "drink:drank"
"sickness:curable" "flammable:lit" "wounded:dead" "cold:frozen" "flammable:lit" "sickness:curable"
"pliable:twisted" "glass:shattered" "fashionable:trendy" "evanescent:gone" "pliable:twisted" "fashionable:trendy"
"burned:wooden" "flexible:bent" "sick:cured" "cured:sick" "burned:wooden" "flexible:bent"
"beautiful:photogenic" "fragrant:smelled" "elastic:stretched" "shiny:shined" "elastic:stretched" "shiny:shined"
"shattered:glass" "damaged:fragile" "cold:icy" "wooden:burned" "cold:icy" "shattered:glass"
