"refinery:gas" "lyrics:songwriter" "books:scholar" "words:letters" "lyrics:songwriter" "books:scholar"
"baker:bread" "mother:children" "teacher:chalk" "vintner:wine" "vintner:wine" "baker:bread"
"bank:money" "house:residents" "lyrics:songwriter" "employee:job" "house:residents" "bank:money"
"proprietor:employees" "investor:investments" "students:teacher" "lawyer:clients" "proprietor:employees" "investor:investments"
"library:books" "mansion:rooms" "gas:refinery" "professor:students" "mansion:rooms" "professor:students"
"teacher:students" "farmer:crops" "homeowner:door" "shrubs:roots" "farmer:crops" "homeowner:door"
"mall:shops" "bird:wings" "librarian:books" "mammal:hair" "bird:wings" "mammal:hair"
"doctor:phd" "refinery:gas" "expert:experience" "bee:beehive" "expert:experience" "bee:beehive"
"songwriter:lyrics" "bird:feathers" "letters:words" "homeowner:home" "bird:feathers" "homeowner:home"
"jug:milk" "tree:bark" "words:letters" "scholar:books" "scholar:books" "tree:bark"
"lyrics:songwriter" "bird:feathers" "college:teachers" "gas:refinery" "bird:feathers" "college:teachers"
"musician:music" "mansion:rooms" "doctor:phd" "students:teacher" "musician:music" "mansion:rooms"
"letters:words" "farmer:crops" "jug:milk" "words:letters" "farmer:crops" "letters:words"
"proprietor:employees" "vintner:wine" "lawyer:clients" "bee:beehive" "proprietor:employees" "vintner:wine"
"library:books" "garden:vegetables" "tree:bark" "mammal:hair" "tree:bark" "library:books"
"employee:job" "doctor:degree" "songwriter:lyrics" "scholar:books" "scholar:books" "employee:job"
"professor:students" "expert:experience" "mother:children" "books:scholar" "mother:children" "expert:experience"
"bank:money" "teacher:chalk" "shrubs:roots" "teacher:students" "bank:money" "shrubs:roots"
"baker:bread" "homeowner:home" "homeowner:door" "bird:wings" "baker:bread" "bird:wings"
"mall:shops" "refinery:gas" "librarian:books" "house:residents" "house:residents" "mall:shops"
"investor:investments" "teacher:chalk" "bird:feathers" "garden:vegetables" "bird:feathers" "investor:investments"
"students:teacher" "words:letters" "refinery:gas" "gas:refinery" "students:teacher" "refinery:gas"
"expert:experience" "librarian:books" "mansion:rooms" "vintner:wine" "vintner:wine" "mansion:rooms"
"farmer:crops" "scholar:books" "homeowner:home" "tree:bark" "farmer:crops" "scholar:books"
"employee:job" "letters:words" "bird:wings" "mammal:hair" "employee:job" "bird:wings"
"teacher:students" "professor:students" "house:residents" "investor:investments" "house:residents" "investor:investments"
"mall:shops" "songwriter:lyrics" "proprietor:employees" "bank:money" "proprietor:employees" "bank:money"
"college:teachers" "mother:children" "baker:bread" "lawyer:clients" "baker:bread" "mother:children"
"shrubs:roots" "jug:milk" "musician:music" "lyrics:songwriter" "musician:music" "shrubs:roots"
"library:books" "bee:beehive" "books:scholar" "doctor:degree" "library:books" "bee:beehive"
"doctor:phd" "homeowner:door" "mansion:rooms" "songwriter:lyrics" "mansion:rooms" "homeowner:door"
"homeowner:door" "garden:vegetables" "farmer:crops" "employee:job" "farmer:crops" "employee:job"
"students:teacher" "teacher:chalk" "musician:music" "jug:milk" "musician:music" "students:teacher"
"gas:refinery" "homeowner:home" "scholar:books" "books:scholar" "scholar:books" "homeowner:home"
"expert:experience" "baker:bread" "mother:children" "lawyer:clients" "baker:bread" "mother:children"
"bank:money" "doctor:degree" "professor:students" "doctor:phd" "bank:money" "professor:students"
"college:teachers" "librarian:books" "bird:feathers" "mammal:hair" "bird:feathers" "college:teachers"
"mall:shops" "letters:words" "house:residents" "tree:bark" "house:residents" "tree:bark"
"vintner:wine" "refinery:gas" "library:books" "bird:wings" "vintner:wine" "bird:wings"
"shrubs:roots" "investor:investments" "teacher:students" "words:letters" "investor:investments" "shrubs:roots"
"bee:beehive" "lyrics:songwriter" "proprietor:employees" "jug:milk" "proprietor:employees" "bee:beehive"
"house:residents" "college:teachers" "proprietor:employees" "tree:bark" "proprietor:employees" "house:residents"
"teacher:students" "bird:wings" "refinery:gas" "songwriter:lyrics" "bird:wings" "songwriter:lyrics"
"expert:experience" "teacher:chalk" "mall:shops" "scholar:books" "scholar:books" "expert:experience"
"professor:students" "shrubs:roots" "lawyer:clients" "books:scholar" "lawyer:clients" "professor:students"
"garden:vegetables" "students:teacher" "mother:children" "doctor:phd" "mother:children" "students:teacher"
"gas:refinery" "vintner:wine" "library:books" "bee:beehive" "vintner:wine" "library:books"
"bird:feathers" "librarian:books" "mansion:rooms" "musician:music" "bird:feathers" "musician:music"
"lyrics:songwriter" "farmer:crops" "words:letters" "baker:bread" "farmer:crops" "baker:bread"
"doctor:degree" "bank:money" "investor:investments" "employee:job" "investor:investments" "bank:money"
"mammal:hair" "letters:words" "homeowner:home" "homeowner:door" "homeowner:home" "homeowner:door"
"farmer:crops" "bird:feathers" "students:teacher" "scholar:books" "bird:feathers" "farmer:crops"
"songwriter:lyrics" "college:teachers" "teacher:students" "doctor:phd" "songwriter:lyrics" "college:teachers"
"house:residents" "bee:beehive" "lyrics:songwriter" "mall:shops" "house:residents" "bee:beehive"
"refinery:gas" "garden:vegetables" "homeowner:home" "shrubs:roots" "homeowner:home" "shrubs:roots"
"librarian:books" "professor:students" "homeowner:door" "baker:bread" "baker:bread" "homeowner:door"
"teacher:chalk" "mansion:rooms" "library:books" "letters:words" "mansion:rooms" "library:books"
"gas:refinery" "musician:music" "vintner:wine" "tree:bark" "musician:music" "vintner:wine"
"mammal:hair" "investor:investments" "expert:experience" "words:letters" "investor:investments" "expert:experience"
"bird:wings" "employee:job" "mother:children" "jug:milk" "mother:children" "employee:job"
"doctor:degree" "lawyer:clients" "books:scholar" "bank:money" "bank:money" "lawyer:clients"
"proprietor:employees" "songwriter:lyrics" "shrubs:roots" "lyrics:songwriter" "proprietor:employees" "songwriter:lyrics"
"letters:words" "refinery:gas" "college:teachers" "doctor:degree" "college:teachers" "letters:words"
"investor:investments" "library:books" "homeowner:door" "tree:bark" "investor:investments" "tree:bark"
"proprietor:employees" "expert:experience" "mansion:rooms" "mother:children" "proprietor:employees" "mother:children"
"bird:wings" "farmer:crops" "homeowner:home" "teacher:chalk" "farmer:crops" "bird:wings"
"vintner:wine" "books:scholar" "teacher:students" "students:teacher" "vintner:wine" "students:teacher"
"lawyer:clients" "employee:job" "mammal:hair" "scholar:books" "scholar:books" "employee:job"
"bank:money" "librarian:books" "words:letters" "bird:feathers" "bird:feathers" "bank:money"
"musician:music" "gas:refinery" "doctor:phd" "professor:students" "musician:music" "professor:students"
"jug:milk" "baker:bread" "garden:vegetables" "house:residents" "house:residents" "baker:bread"
"bee:beehive" "mall:shops" "garden:vegetables" "mother:children" "mother:children" "bee:beehive"
