"refinery:gas" "lyrics:songwriter" "books:scholar" "words:letters" "words:letters" "refinery:gas"
"teacher:students" "farmer:crops" "homeowner:door" "shrubs:roots" "farmer:crops" "homeowner:door"
"mall:shops" "bird:wings" "librarian:books" "mammal:hair" "bird:wings" "mall:shops"
"doctor:phd" "refinery:gas" "expert:experience" "bee:beehive" "expert:experience" "bee:beehive"
"songwriter:lyrics" "bird:feathers" "letters:words" "homeowner:home" "bird:feathers" "homeowner:home"
"jug:milk" "tree:bark" "words:letters" "scholar:books" "tree:bark" "words:letters"
"lyrics:songwriter" "bird:feathers" "college:teachers" "gas:refinery" "bird:feathers" "college:teachers"
"musician:music" "mansion:rooms" "doctor:phd" "students:teacher" "mansion:rooms" "musician:music"
"letters:words" "farmer:crops" "jug:milk" "words:letters" "farmer:crops" "words:letters"
"proprietor:employees" "vintner:wine" "lawyer:clients" "bee:beehive" "vintner:wine" "bee:beehive"
"library:books" "garden:vegetables" "tree:bark" "mammal:hair" "tree:bark" "garden:vegetables"
"employee:job" "doctor:degree" "songwriter:lyrics" "scholar:books" "employee:job" "doctor:degree"
"professor:students" "expert:experience" "mother:children" "books:scholar" "mother:children" "expert:experience"
"bank:money" "teacher:chalk" "shrubs:roots" "teacher:students" "bank:money" "teacher:chalk"
"baker:bread" "homeowner:home" "homeowner:door" "bird:wings" "bird:wings" "baker:bread"
"mall:shops" "refinery:gas" "librarian:books" "house:residents" "house:residents" "mall:shops"
"investor:investments" "teacher:chalk" "bird:feathers" "garden:vegetables" "bird:feathers" "investor:investments"
"students:teacher" "words:letters" "refinery:gas" "gas:refinery" "students:teacher" "words:letters"
"expert:experience" "librarian:books" "mansion:rooms" "vintner:wine" "mansion:rooms" "vintner:wine"
"farmer:crops" "scholar:books" "homeowner:home" "tree:bark" "farmer:crops" "tree:bark"
"employee:job" "letters:words" "bird:wings" "mammal:hair" "bird:wings" "employee:job"
"teacher:students" "professor:students" "house:residents" "investor:investments" "house:residents" "investor:investments"
"mall:shops" "songwriter:lyrics" "proprietor:employees" "bank:money" "bank:money" "mall:shops"
"college:teachers" "mother:children" "baker:bread" "lawyer:clients" "mother:children" "college:teachers"
"shrubs:roots" "jug:milk" "musician:music" "lyrics:songwriter" "musician:music" "jug:milk"
"library:books" "bee:beehive" "books:scholar" "doctor:degree" "bee:beehive" "doctor:degree"
"doctor:phd" "homeowner:door" "mansion:rooms" "songwriter:lyrics" "mansion:rooms" "homeowner:door"
"homeowner:door" "garden:vegetables" "farmer:crops" "employee:job" "farmer:crops" "employee:job"
"students:teacher" "teacher:chalk" "musician:music" "jug:milk" "musician:music" "students:teacher"
"gas:refinery" "homeowner:home" "scholar:books" "books:scholar" "homeowner:home" "books:scholar"
"expert:experience" "baker:bread" "mother:children" "lawyer:clients" "mother:children" "baker:bread"
"bank:money" "doctor:degree" "professor:students" "doctor:phd" "bank:money" "doctor:degree"
"college:teachers" "librarian:books" "bird:feathers" "mammal:hair" "bird:feathers" "college:teachers"
"mall:shops" "letters:words" "house:residents" "tree:bark" "house:residents" "tree:bark"
"vintner:wine" "refinery:gas" "library:books" "bird:wings" "vintner:wine" "bird:wings"
"shrubs:roots" "investor:investments" "teacher:students" "words:letters" "investor:investments" "words:letters"
"bee:beehive" "lyrics:songwriter" "proprietor:employees" "jug:milk" "bee:beehive" "jug:milk"
"house:residents" "college:teachers" "proprietor:employees" "tree:bark" "house:residents" "college:teachers"
"teacher:students" "bird:wings" "refinery:gas" "songwriter:lyrics" "bird:wings" "songwriter:lyrics"
"expert:experience" "teacher:chalk" "mall:shops" "scholar:books" "mall:shops" "expert:experience"
"professor:students" "shrubs:roots" "lawyer:clients" "books:scholar" "lawyer:clients" "shrubs:roots"
"garden:vegetables" "students:teacher" "mother:children" "doctor:phd" "mother:children" "garden:vegetables"
"gas:refinery" "vintner:wine" "library:books" "bee:beehive" "vintner:wine" "bee:beehive"
"bird:feathers" "librarian:books" "mansion:rooms" "musician:music" "bird:feathers" "mansion:rooms"
"lyrics:songwriter" "farmer:crops" "words:letters" "baker:bread" "farmer:crops" "baker:bread"
"doctor:degree" "bank:money" "investor:investments" "employee:job" "bank:money" "investor:investments"
"mammal:hair" "letters:words" "homeowner:home" "homeowner:door" "homeowner:home" "letters:words"
"farmer:crops" "bird:feathers" "students:teacher" "scholar:books" "bird:feathers" "farmer:crops"
"songwriter:lyrics" "college:teachers" "teacher:students" "doctor:phd" "college:teachers" "songwriter:lyrics"
"house:residents" "bee:beehive" "lyrics:songwriter" "mall:shops" "house:residents" "mall:shops"
"refinery:gas" "garden:vegetables" "homeowner:home" "shrubs:roots" "garden:vegetables" "homeowner:home"
"librarian:books" "professor:students" "homeowner:door" "baker:bread" "baker:bread" "librarian:books"
"teacher:chalk" "mansion:rooms" "library:books" "letters:words" "mansion:rooms" "library:books"
"gas:refinery" "musician:music" "vintner:wine" "tree:bark" "vintner:wine" "musician:music"
"mammal:hair" "investor:investments" "expert:experience" "words:letters" "investor:investments" "expert:experience"
"bird:wings" "employee:job" "mother:children" "jug:milk" "mother:children" "bird:wings"
"doctor:degree" "lawyer:clients" "books:scholar" "bank:money" "bank:money" "doctor:degree"
"proprietor:employees" "songwriter:lyrics" "shrubs:roots" "lyrics:songwriter" "songwriter:lyrics" "shrubs:roots"
"letters:words" "refinery:gas" "college:teachers" "doctor:degree" "college:teachers" "doctor:degree"
"investor:investments" "library:books" "homeowner:door" "tree:bark" "investor:investments" "tree:bark"
"proprietor:employees" "expert:experience" "mansion:rooms" "mother:children" "mansion:rooms" "mother:children"
"bird:wings" "farmer:crops" "homeowner:home" "teacher:chalk" "farmer:crops" "bird:wings"
"vintner:wine" "books:scholar" "teacher:students" "students:teacher" "vintner:wine" "students:teacher"
"lawyer:clients" "employee:job" "mammal:hair" "scholar:books" "employee:job" "lawyer:clients"
"bank:money" "librarian:books" "words:letters" "bird:feathers" "bird:feathers" "bank:money"
"musician:music" "gas:refinery" "doctor:phd" "professor:students" "musician:music" "gas:refinery"
"jug:milk" "baker:bread" "garden:vegetables" "house:residents" "house:residents" "baker:bread"
"bee:beehive" "mall:shops" "garden:vegetables" "mother:children" "mother:children" "mall:shops"
