"refinery:gas" "lyrics:songwriter" "books:scholar" "words:letters" "lyrics:songwriter" "books:scholar"
"doctor:phd" "homeowner:door" "mansion:rooms" "songwriter:lyrics" "mansion:rooms" "songwriter:lyrics"
"homeowner:door" "garden:vegetables" "farmer:crops" "employee:job" "employee:job" "homeowner:door"
"students:teacher" "teacher:chalk" "musician:music" "jug:milk" "musician:music" "jug:milk"
"gas:refinery" "homeowner:home" "scholar:books" "books:scholar" "scholar:books" "homeowner:home"
"expert:experience" "baker:bread" "mother:children" "lawyer:clients" "baker:bread" "expert:experience"
"bank:money" "doctor:degree" "professor:students" "doctor:phd" "bank:money" "professor:students"
"college:teachers" "librarian:books" "bird:feathers" "mammal:hair" "bird:feathers" "librarian:books"
"mall:shops" "letters:words" "house:residents" "tree:bark" "tree:bark" "house:residents"
"vintner:wine" "refinery:gas" "library:books" "bird:wings" "bird:wings" "vintner:wine"
"shrubs:roots" "investor:investments" "teacher:students" "words:letters" "shrubs:roots" "investor:investments"
"bee:beehive" "lyrics:songwriter" "proprietor:employees" "jug:milk" "proprietor:employees" "bee:beehive"
"house:residents" "college:teachers" "proprietor:employees" "tree:bark" "proprietor:employees" "tree:bark"
"teacher:students" "bird:wings" "refinery:gas" "songwriter:lyrics" "bird:wings" "songwriter:lyrics"
"expert:experience" "teacher:chalk" "mall:shops" "scholar:books" "scholar:books" "expert:experience"
"professor:students" "shrubs:roots" "lawyer:clients" "books:scholar" "shrubs:roots" "lawyer:clients"
"garden:vegetables" "students:teacher" "mother:children" "doctor:phd" "garden:vegetables" "students:teacher"
"gas:refinery" "vintner:wine" "library:books" "bee:beehive" "vintner:wine" "bee:beehive"
"bird:feathers" "librarian:books" "mansion:rooms" "musician:music" "mansion:rooms" "musician:music"
"lyrics:songwriter" "farmer:crops" "words:letters" "baker:bread" "baker:bread" "lyrics:songwriter"
"doctor:degree" "bank:money" "investor:investments" "employee:job" "bank:money" "employee:job"
"mammal:hair" "letters:words" "homeowner:home" "homeowner:door" "homeowner:home" "homeowner:door"
"farmer:crops" "bird:feathers" "students:teacher" "scholar:books" "scholar:books" "bird:feathers"
"songwriter:lyrics" "college:teachers" "teacher:students" "doctor:phd" "songwriter:lyrics" "teacher:students"
"house:residents" "bee:beehive" "lyrics:songwriter" "mall:shops" "house:residents" "bee:beehive"
"refinery:gas" "garden:vegetables" "homeowner:home" "shrubs:roots" "shrubs:roots" "homeowner:home"
"librarian:books" "professor:students" "homeowner:door" "baker:bread" "baker:bread" "librarian:books"
"teacher:chalk" "mansion:rooms" "library:books" "letters:words" "mansion:rooms" "library:books"
"gas:refinery" "musician:music" "vintner:wine" "tree:bark" "musician:music" "tree:bark"
"mammal:hair" "investor:investments" "expert:experience" "words:letters" "expert:experience" "investor:investments"
"bird:wings" "employee:job" "mother:children" "jug:milk" "bird:wings" "employee:job"
"doctor:degree" "lawyer:clients" "books:scholar" "bank:money" "bank:money" "lawyer:clients"
"proprietor:employees" "songwriter:lyrics" "shrubs:roots" "lyrics:songwriter" "proprietor:employees" "shrubs:roots"
"letters:words" "refinery:gas" "college:teachers" "doctor:degree" "doctor:degree" "letters:words"
"investor:investments" "library:books" "homeowner:door" "tree:bark" "tree:bark" "investor:investments"
"proprietor:employees" "expert:experience" "mansion:rooms" "mother:children" "proprietor:employees" "mansion:rooms"
"bird:wings" "farmer:crops" "homeowner:home" "teacher:chalk" "bird:wings" "homeowner:home"
"vintner:wine" "books:scholar" "teacher:students" "students:teacher" "vintner:wine" "teacher:students"
"lawyer:clients" "employee:job" "mammal:hair" "scholar:books" "scholar:books" "employee:job"
"bank:money" "librarian:books" "words:letters" "bird:feathers" "bank:money" "bird:feathers"
"musician:music" "gas:refinery" "doctor:phd" "professor:students" "musician:music" "professor:students"
"jug:milk" "baker:bread" "garden:vegetables" "house:residents" "baker:bread" "house:residents"
"bee:beehive" "mall:shops" "garden:vegetables" "mother:children" "bee:beehive" "mall:shops"
