"grieving:mourning" "tired:exhaustion" "peace:magnanimous" "ignorant:bliss" "ignorant:bliss" "tired:exhaustion"
"curious:investigation" "yelling:anger" "drunk:intoxication" "pedantic:reading" "yelling:anger" "pedantic:reading"
"illogical:confusion" "happy:contentment" "habitual:routine" "provocative:controversy" "illogical:confusion" "happy:contentment"
"contentment:happy" "joyful:ecstatic" "starving:hunger" "thoughtful:contemplation" "starving:hunger" "thoughtful:contemplation"
"incompetent:disaster" "lovable:attitude" "morose:sadness" "parched:thirstiness" "morose:sadness" "incompetent:disaster"
"anger:yelling" "nutritious:vegetables" "pensive:thought" "crying:sadness" "nutritious:vegetables" "anger:yelling"
"giddy:happiness" "emotional:turmoil" "shaking:fear" "fastidious:perturbation" "giddy:happiness" "shaking:fear"
"mad:anger" "ecstatic:joyful" "magnanimous:peace" "grieving:mourning" "ecstatic:joyful" "magnanimous:peace"
"cold:frigid" "tired:exhaustion" "lethargic:fatigue" "brittle:bones" "lethargic:fatigue" "brittle:bones"
"sad:depression" "frigid:cold" "determined:certainty" "angry:furious" "sad:depression" "angry:furious"
"ignorant:bliss" "sad:depressed" "messy:disarray" "lazy:indolence" "sad:depressed" "lazy:indolence"
"ignorant:bliss" "drunk:intoxication" "fastidious:perturbation" "determined:certainty" "fastidious:perturbation" "ignorant:bliss"
"pensive:thought" "shaking:fear" "tired:exhaustion" "contentment:happy" "pensive:thought" "shaking:fear"
"anger:yelling" "mad:anger" "yelling:anger" "habitual:routine" "yelling:anger" "anger:yelling"
"ecstatic:joyful" "curious:investigation" "frigid:cold" "laughing:amusement" "laughing:amusement" "ecstatic:joyful"
"happy:contentment" "thoughtful:contemplation" "crying:sadness" "starving:hunger" "starving:hunger" "thoughtful:contemplation"
"brittle:bones" "pedantic:reading" "sad:depressed" "illogical:confusion" "illogical:confusion" "sad:depressed"
"cramps:aching" "magnanimous:peace" "peace:magnanimous" "sad:depression" "sad:depression" "cramps:aching"
"incompetent:disaster" "lethargic:fatigue" "lovable:attitude" "angry:furious" "lethargic:fatigue" "incompetent:disaster"
"giddy:happiness" "joyful:ecstatic" "cold:frigid" "emotional:turmoil" "giddy:happiness" "emotional:turmoil"
"messy:disarray" "angry:belligerence" "parched:thirstiness" "nutritious:vegetables" "nutritious:vegetables" "parched:thirstiness"
"provocative:controversy" "morose:sadness" "lazy:indolence" "grieving:mourning" "morose:sadness" "lazy:indolence"
"incompetent:disaster" "curious:investigation" "angry:belligerence" "cold:frigid" "incompetent:disaster" "curious:investigation"
"grieving:mourning" "lovable:attitude" "contentment:happy" "ecstatic:joyful" "ecstatic:joyful" "lovable:attitude"
"habitual:routine" "morose:sadness" "mad:anger" "lazy:indolence" "morose:sadness" "lazy:indolence"
"happy:contentment" "sad:depressed" "angry:furious" "joyful:ecstatic" "sad:depressed" "angry:furious"
"emotional:turmoil" "starving:hunger" "lethargic:fatigue" "parched:thirstiness" "lethargic:fatigue" "parched:thirstiness"
"determined:certainty" "laughing:amusement" "tired:exhaustion" "pedantic:reading" "laughing:amusement" "pedantic:reading"
"messy:disarray" "thoughtful:contemplation" "provocative:controversy" "crying:sadness" "messy:disarray" "thoughtful:contemplation"
"ignorant:bliss" "shaking:fear" "frigid:cold" "peace:magnanimous" "shaking:fear" "frigid:cold"
"brittle:bones" "illogical:confusion" "anger:yelling" "drunk:intoxication" "illogical:confusion" "anger:yelling"
"cramps:aching" "pensive:thought" "fastidious:perturbation" "magnanimous:peace" "pensive:thought" "cramps:aching"
"nutritious:vegetables" "sad:depression" "giddy:happiness" "yelling:anger" "nutritious:vegetables" "yelling:anger"
"angry:belligerence" "sad:depression" "frigid:cold" "contentment:happy" "sad:depression" "frigid:cold"
"shaking:fear" "pensive:thought" "starving:hunger" "joyful:ecstatic" "pensive:thought" "starving:hunger"
"crying:sadness" "grieving:mourning" "parched:thirstiness" "ignorant:bliss" "parched:thirstiness" "ignorant:bliss"
"emotional:turmoil" "laughing:amusement" "brittle:bones" "sad:depressed" "laughing:amusement" "sad:depressed"
"magnanimous:peace" "lovable:attitude" "ecstatic:joyful" "messy:disarray" "ecstatic:joyful" "magnanimous:peace"
"lethargic:fatigue" "habitual:routine" "provocative:controversy" "determined:certainty" "lethargic:fatigue" "habitual:routine"
"thoughtful:contemplation" "fastidious:perturbation" "illogical:confusion" "morose:sadness" "morose:sadness" "illogical:confusion"
"incompetent:disaster" "giddy:happiness" "happy:contentment" "drunk:intoxication" "incompetent:disaster" "giddy:happiness"
"angry:furious" "yelling:anger" "anger:yelling" "peace:magnanimous" "yelling:anger" "anger:yelling"
"mad:anger" "nutritious:vegetables" "tired:exhaustion" "curious:investigation" "nutritious:vegetables" "curious:investigation"
"lazy:indolence" "pedantic:reading" "cold:frigid" "cramps:aching" "cramps:aching" "lazy:indolence"
"crying:sadness" "emotional:turmoil" "habitual:routine" "lethargic:fatigue" "lethargic:fatigue" "emotional:turmoil"
"joyful:ecstatic" "cold:frigid" "morose:sadness" "frigid:cold" "morose:sadness" "frigid:cold"
"lazy:indolence" "sad:depressed" "starving:hunger" "illogical:confusion" "illogical:confusion" "sad:depressed"
"giddy:happiness" "sad:depression" "drunk:intoxication" "ecstatic:joyful" "ecstatic:joyful" "sad:depression"
"tired:exhaustion" "parched:thirstiness" "brittle:bones" "lovable:attitude" "parched:thirstiness" "brittle:bones"
"determined:certainty" "curious:investigation" "thoughtful:contemplation" "yelling:anger" "yelling:anger" "thoughtful:contemplation"
"ignorant:bliss" "laughing:amusement" "messy:disarray" "pensive:thought" "laughing:amusement" "pensive:thought"
"pedantic:reading" "shaking:fear" "angry:belligerence" "happy:contentment" "shaking:fear" "pedantic:reading"
"provocative:controversy" "nutritious:vegetables" "fastidious:perturbation" "magnanimous:peace" "nutritious:vegetables" "magnanimous:peace"
"peace:magnanimous" "mad:anger" "incompetent:disaster" "grieving:mourning" "incompetent:disaster" "mad:anger"
"cramps:aching" "anger:yelling" "contentment:happy" "angry:furious" "anger:yelling" "cramps:aching"
"cramps:aching" "determined:certainty" "tired:exhaustion" "ecstatic:joyful" "ecstatic:joyful" "cramps:aching"
"parched:thirstiness" "shaking:fear" "illogical:confusion" "giddy:happiness" "illogical:confusion" "parched:thirstiness"
"ignorant:bliss" "starving:hunger" "frigid:cold" "mad:anger" "starving:hunger" "frigid:cold"
"sad:depression" "angry:furious" "peace:magnanimous" "morose:sadness" "morose:sadness" "sad:depression"
"contentment:happy" "lovable:attitude" "pensive:thought" "drunk:intoxication" "pensive:thought" "lovable:attitude"
"anger:yelling" "curious:investigation" "provocative:controversy" "lazy:indolence" "anger:yelling" "lazy:indolence"
"grieving:mourning" "fastidious:perturbation" "yelling:anger" "lethargic:fatigue" "lethargic:fatigue" "yelling:anger"
"crying:sadness" "sad:depressed" "messy:disarray" "angry:belligerence" "sad:depressed" "messy:disarray"
"nutritious:vegetables" "pedantic:reading" "brittle:bones" "joyful:ecstatic" "nutritious:vegetables" "brittle:bones"
"emotional:turmoil" "thoughtful:contemplation" "cold:frigid" "laughing:amusement" "laughing:amusement" "emotional:turmoil"
"incompetent:disaster" "habitual:routine" "happy:contentment" "magnanimous:peace" "incompetent:disaster" "magnanimous:peace"
"sad:depressed" "fastidious:perturbation" "morose:sadness" "cold:frigid" "morose:sadness" "sad:depressed"
"lethargic:fatigue" "thoughtful:contemplation" "incompetent:disaster" "drunk:intoxication" "lethargic:fatigue" "incompetent:disaster"
"lovable:attitude" "messy:disarray" "mad:anger" "emotional:turmoil" "messy:disarray" "emotional:turmoil"
"anger:yelling" "contentment:happy" "illogical:confusion" "cramps:aching" "illogical:confusion" "anger:yelling"
"tired:exhaustion" "starving:hunger" "nutritious:vegetables" "ecstatic:joyful" "ecstatic:joyful" "nutritious:vegetables"
"curious:investigation" "happy:contentment" "magnanimous:peace" "determined:certainty" "magnanimous:peace" "curious:investigation"
"pedantic:reading" "frigid:cold" "sad:depression" "lazy:indolence" "sad:depression" "lazy:indolence"
"joyful:ecstatic" "angry:belligerence" "provocative:controversy" "brittle:bones" "brittle:bones" "provocative:controversy"
"habitual:routine" "ignorant:bliss" "parched:thirstiness" "yelling:anger" "yelling:anger" "parched:thirstiness"
"grieving:mourning" "shaking:fear" "peace:magnanimous" "laughing:amusement" "laughing:amusement" "shaking:fear"
"crying:sadness" "angry:furious" "pensive:thought" "giddy:happiness" "giddy:happiness" "pensive:thought"
"shaking:fear" "brittle:bones" "determined:certainty" "anger:yelling" "anger:yelling" "brittle:bones"
"morose:sadness" "ignorant:bliss" "nutritious:vegetables" "mad:anger" "morose:sadness" "nutritious:vegetables"
"magnanimous:peace" "frigid:cold" "tired:exhaustion" "lethargic:fatigue" "lethargic:fatigue" "magnanimous:peace"
"parched:thirstiness" "cold:frigid" "sad:depressed" "ecstatic:joyful" "ecstatic:joyful" "parched:thirstiness"
"angry:belligerence" "starving:hunger" "laughing:amusement" "thoughtful:contemplation" "laughing:amusement" "starving:hunger"
"messy:disarray" "cramps:aching" "yelling:anger" "pensive:thought" "yelling:anger" "pensive:thought"
"habitual:routine" "lazy:indolence" "provocative:controversy" "angry:furious" "angry:furious" "lazy:indolence"
"lovable:attitude" "pedantic:reading" "peace:magnanimous" "illogical:confusion" "illogical:confusion" "pedantic:reading"
"contentment:happy" "incompetent:disaster" "joyful:ecstatic" "giddy:happiness" "incompetent:disaster" "giddy:happiness"
"sad:depression" "grieving:mourning" "curious:investigation" "crying:sadness" "sad:depression" "curious:investigation"
"happy:contentment" "drunk:intoxication" "emotional:turmoil" "fastidious:perturbation" "emotional:turmoil" "fastidious:perturbation"
