"refinery:gas" "lyrics:songwriter" "books:scholar" "words:letters" "words:letters" "books:scholar"
"mall:shops" "letters:words" "house:residents" "tree:bark" "mall:shops" "tree:bark"
"vintner:wine" "refinery:gas" "library:books" "bird:wings" "vintner:wine" "library:books"
"shrubs:roots" "investor:investments" "teacher:students" "words:letters" "shrubs:roots" "investor:investments"
"bee:beehive" "lyrics:songwriter" "proprietor:employees" "jug:milk" "bee:beehive" "proprietor:employees"
"house:residents" "college:teachers" "proprietor:employees" "tree:bark" "tree:bark" "college:teachers"
"teacher:students" "bird:wings" "refinery:gas" "songwriter:lyrics" "teacher:students" "songwriter:lyrics"
"expert:experience" "teacher:chalk" "mall:shops" "scholar:books" "mall:shops" "expert:experience"
"professor:students" "shrubs:roots" "lawyer:clients" "books:scholar" "shrubs:roots" "lawyer:clients"
"garden:vegetables" "students:teacher" "mother:children" "doctor:phd" "garden:vegetables" "students:teacher"
"gas:refinery" "vintner:wine" "library:books" "bee:beehive" "vintner:wine" "bee:beehive"
"bird:feathers" "librarian:books" "mansion:rooms" "musician:music" "musician:music" "librarian:books"
"lyrics:songwriter" "farmer:crops" "words:letters" "baker:bread" "farmer:crops" "baker:bread"
"doctor:degree" "bank:money" "investor:investments" "employee:job" "investor:investments" "bank:money"
"mammal:hair" "letters:words" "homeowner:home" "homeowner:door" "homeowner:home" "homeowner:door"
"farmer:crops" "bird:feathers" "students:teacher" "scholar:books" "farmer:crops" "students:teacher"
"songwriter:lyrics" "college:teachers" "teacher:students" "doctor:phd" "teacher:students" "college:teachers"
"house:residents" "bee:beehive" "lyrics:songwriter" "mall:shops" "mall:shops" "bee:beehive"
"refinery:gas" "garden:vegetables" "homeowner:home" "shrubs:roots" "shrubs:roots" "garden:vegetables"
"librarian:books" "professor:students" "homeowner:door" "baker:bread" "baker:bread" "librarian:books"
"teacher:chalk" "mansion:rooms" "library:books" "letters:words" "library:books" "teacher:chalk"
"gas:refinery" "musician:music" "vintner:wine" "tree:bark" "vintner:wine" "musician:music"
"mammal:hair" "investor:investments" "expert:experience" "words:letters" "investor:investments" "expert:experience"
"bird:wings" "employee:job" "mother:children" "jug:milk" "employee:job" "jug:milk"
"doctor:degree" "lawyer:clients" "books:scholar" "bank:money" "bank:money" "doctor:degree"
"proprietor:employees" "songwriter:lyrics" "shrubs:roots" "lyrics:songwriter" "shrubs:roots" "proprietor:employees"
"letters:words" "refinery:gas" "college:teachers" "doctor:degree" "college:teachers" "doctor:degree"
"investor:investments" "library:books" "homeowner:door" "tree:bark" "investor:investments" "tree:bark"
"proprietor:employees" "expert:experience" "mansion:rooms" "mother:children" "expert:experience" "proprietor:employees"
"bird:wings" "farmer:crops" "homeowner:home" "teacher:chalk" "farmer:crops" "homeowner:home"
"vintner:wine" "books:scholar" "teacher:students" "students:teacher" "vintner:wine" "teacher:students"
"lawyer:clients" "employee:job" "mammal:hair" "scholar:books" "employee:job" "mammal:hair"
"bank:money" "librarian:books" "words:letters" "bird:feathers" "bank:money" "librarian:books"
"musician:music" "gas:refinery" "doctor:phd" "professor:students" "musician:music" "gas:refinery"
"jug:milk" "baker:bread" "garden:vegetables" "house:residents" "garden:vegetables" "baker:bread"
"bee:beehive" "mall:shops" "garden:vegetables" "mother:children" "mall:shops" "garden:vegetables"
