"refinery:gas" "lyrics:songwriter" "books:scholar" "words:letters" "lyrics:songwriter" "books:scholar"
"teacher:chalk" "mansion:rooms" "library:books" "letters:words" "letters:words" "mansion:rooms"
"gas:refinery" "musician:music" "vintner:wine" "tree:bark" "vintner:wine" "musician:music"
"mammal:hair" "investor:investments" "expert:experience" "words:letters" "investor:investments" "expert:experience"
"bird:wings" "employee:job" "mother:children" "jug:milk" "bird:wings" "employee:job"
"doctor:degree" "lawyer:clients" "books:scholar" "bank:money" "bank:money" "lawyer:clients"
"proprietor:employees" "songwriter:lyrics" "shrubs:roots" "lyrics:songwriter" "proprietor:employees" "shrubs:roots"
"letters:words" "refinery:gas" "college:teachers" "doctor:degree" "letters:words" "college:teachers"
"investor:investments" "library:books" "homeowner:door" "tree:bark" "tree:bark" "investor:investments"
"proprietor:employees" "expert:experience" "mansion:rooms" "mother:children" "proprietor:employees" "mansion:rooms"
"bird:wings" "farmer:crops" "homeowner:home" "teacher:chalk" "bird:wings" "farmer:crops"
"vintner:wine" "books:scholar" "teacher:students" "students:teacher" "vintner:wine" "teacher:students"
"lawyer:clients" "employee:job" "mammal:hair" "scholar:books" "scholar:books" "employee:job"
"bank:money" "librarian:books" "words:letters" "bird:feathers" "bank:money" "librarian:books"
"musician:music" "gas:refinery" "doctor:phd" "professor:students" "musician:music" "professor:students"
"jug:milk" "baker:bread" "garden:vegetables" "house:residents" "garden:vegetables" "baker:bread"
"bee:beehive" "mall:shops" "garden:vegetables" "mother:children" "mall:shops" "garden:vegetables"
