"option:choice" "cute:adorable" "abode:house" "bathroom:restroom" "option:choice" "cute:adorable"
"sleep:doze" "music:tunes" "ugly:hideous" "room:chamber" "room:chamber" "music:tunes"
"careful:cautious" "option:choice" "beautiful:pretty" "house:abode" "careful:cautious" "option:choice"
"cute:adorable" "urban:city" "restroom:bathroom" "raise:elevate" "urban:city" "raise:elevate"
"flammable:inflammable" "make:manufacture" "seat:chair" "large:big" "seat:chair" "flammable:inflammable"
"big:large" "dress:frock" "spectacles:glasses" "sweets:candy" "big:large" "spectacles:glasses"
"pretty:beautiful" "spin:twirl" "house:dwelling" "pants:trousers" "house:dwelling" "pants:trousers"
"glass:cup" "dream:fantasize" "organization:club" "boat:ship" "boat:ship" "glass:cup"
"tedious:monotonous" "big:large" "cellphone:mobile" "abode:house" "big:large" "tedious:monotonous"
"cute:adorable" "seat:chair" "music:tunes" "dream:fantasize" "seat:chair" "music:tunes"
"urban:city" "large:big" "pants:trousers" "house:home" "house:home" "urban:city"
"house:dwelling" "ugly:hideous" "spectacles:glasses" "raise:elevate" "house:dwelling" "raise:elevate"
"house:abode" "boat:ship" "make:manufacture" "teach:instruct" "teach:instruct" "boat:ship"
"couch:sofa" "option:choice" "old:mature" "beautiful:pretty" "option:choice" "couch:sofa"
"pretty:beautiful" "flammable:inflammable" "kid:child" "candy:sweets" "pretty:beautiful" "kid:child"
"run:sprint" "room:chamber" "spin:twirl" "tedious:monotonous" "room:chamber" "tedious:monotonous"
"organization:club" "bathroom:restroom" "sofa:chair" "sweets:candy" "organization:club" "sweets:candy"
"clean:tidy" "careful:cautious" "dress:frock" "glass:cup" "careful:cautious" "glass:cup"
"bathroom:lavatory" "restroom:bathroom" "sleep:doze" "stick:attach" "stick:attach" "bathroom:lavatory"
"glass:cup" "house:abode" "boat:ship" "dream:fantasize" "boat:ship" "glass:cup"
"teach:instruct" "couch:sofa" "sleep:doze" "flammable:inflammable" "teach:instruct" "flammable:inflammable"
"house:dwelling" "pretty:beautiful" "organization:club" "option:choice" "house:dwelling" "option:choice"
"ugly:hideous" "sweets:candy" "spectacles:glasses" "bathroom:restroom" "ugly:hideous" "spectacles:glasses"
"urban:city" "candy:sweets" "make:manufacture" "tedious:monotonous" "urban:city" "tedious:monotonous"
"beautiful:pretty" "large:big" "cellphone:mobile" "raise:elevate" "raise:elevate" "large:big"
"bathroom:lavatory" "room:chamber" "clean:tidy" "cute:adorable" "room:chamber" "clean:tidy"
"music:tunes" "big:large" "house:home" "run:sprint" "house:home" "big:large"
"old:mature" "spin:twirl" "stick:attach" "dress:frock" "dress:frock" "stick:attach"
"abode:house" "kid:child" "sofa:chair" "pants:trousers" "pants:trousers" "kid:child"
"restroom:bathroom" "careful:cautious" "seat:chair" "beautiful:pretty" "careful:cautious" "seat:chair"
"kid:child" "dream:fantasize" "stick:attach" "spectacles:glasses" "kid:child" "spectacles:glasses"
"sweets:candy" "house:abode" "tedious:monotonous" "old:mature" "tedious:monotonous" "sweets:candy"
"boat:ship" "cellphone:mobile" "flammable:inflammable" "seat:chair" "seat:chair" "boat:ship"
"make:manufacture" "large:big" "candy:sweets" "clean:tidy" "clean:tidy" "make:manufacture"
"bathroom:lavatory" "big:large" "glass:cup" "careful:cautious" "careful:cautious" "big:large"
"pants:trousers" "spin:twirl" "sleep:doze" "music:tunes" "music:tunes" "pants:trousers"
"room:chamber" "house:dwelling" "urban:city" "house:home" "room:chamber" "house:dwelling"
"teach:instruct" "dress:frock" "restroom:bathroom" "abode:house" "teach:instruct" "dress:frock"
"pretty:beautiful" "sofa:chair" "organization:club" "cute:adorable" "pretty:beautiful" "organization:club"
"raise:elevate" "ugly:hideous" "option:choice" "couch:sofa" "option:choice" "raise:elevate"
"run:sprint" "bathroom:restroom" "spectacles:glasses" "tedious:monotonous" "spectacles:glasses" "tedious:monotonous"
"sleep:doze" "ugly:hideous" "couch:sofa" "boat:ship" "ugly:hideous" "boat:ship"
"sofa:chair" "house:dwelling" "run:sprint" "house:home" "house:dwelling" "house:home"
"spin:twirl" "old:mature" "make:manufacture" "pretty:beautiful" "pretty:beautiful" "make:manufacture"
"cute:adorable" "sweets:candy" "large:big" "clean:tidy" "sweets:candy" "clean:tidy"
"music:tunes" "pants:trousers" "bathroom:lavatory" "room:chamber" "room:chamber" "music:tunes"
"beautiful:pretty" "candy:sweets" "stick:attach" "teach:instruct" "teach:instruct" "stick:attach"
"glass:cup" "cellphone:mobile" "house:abode" "careful:cautious" "careful:cautious" "glass:cup"
"bathroom:restroom" "kid:child" "raise:elevate" "option:choice" "option:choice" "raise:elevate"
"big:large" "urban:city" "seat:chair" "restroom:bathroom" "urban:city" "big:large"
"dress:frock" "organization:club" "dream:fantasize" "abode:house" "dress:frock" "organization:club"
"flammable:inflammable" "stick:attach" "sofa:chair" "house:dwelling" "house:dwelling" "flammable:inflammable"
"large:big" "sleep:doze" "cellphone:mobile" "organization:club" "organization:club" "sleep:doze"
"teach:instruct" "bathroom:restroom" "pretty:beautiful" "dream:fantasize" "teach:instruct" "pretty:beautiful"
"big:large" "flammable:inflammable" "careful:cautious" "old:mature" "careful:cautious" "big:large"
"clean:tidy" "raise:elevate" "run:sprint" "ugly:hideous" "raise:elevate" "ugly:hideous"
"pants:trousers" "house:abode" "restroom:bathroom" "dress:frock" "pants:trousers" "dress:frock"
"spectacles:glasses" "couch:sofa" "spin:twirl" "glass:cup" "glass:cup" "spectacles:glasses"
"cute:adorable" "sweets:candy" "house:home" "abode:house" "house:home" "sweets:candy"
"kid:child" "option:choice" "beautiful:pretty" "room:chamber" "room:chamber" "option:choice"
"music:tunes" "bathroom:lavatory" "urban:city" "make:manufacture" "urban:city" "music:tunes"
"candy:sweets" "boat:ship" "seat:chair" "tedious:monotonous" "seat:chair" "boat:ship"
"sleep:doze" "house:home" "bathroom:restroom" "make:manufacture" "house:home" "sleep:doze"
"careful:cautious" "abode:house" "sweets:candy" "beautiful:pretty" "careful:cautious" "sweets:candy"
"glass:cup" "spin:twirl" "tedious:monotonous" "large:big" "glass:cup" "tedious:monotonous"
"pants:trousers" "spectacles:glasses" "seat:chair" "clean:tidy" "seat:chair" "pants:trousers"
"dress:frock" "organization:club" "music:tunes" "cute:adorable" "music:tunes" "dress:frock"
"house:dwelling" "big:large" "pretty:beautiful" "raise:elevate" "house:dwelling" "big:large"
"couch:sofa" "stick:attach" "cellphone:mobile" "restroom:bathroom" "stick:attach" "couch:sofa"
"kid:child" "sofa:chair" "room:chamber" "teach:instruct" "room:chamber" "teach:instruct"
"flammable:inflammable" "house:abode" "run:sprint" "old:mature" "flammable:inflammable" "run:sprint"
"candy:sweets" "option:choice" "urban:city" "boat:ship" "option:choice" "urban:city"
"ugly:hideous" "dream:fantasize" "bathroom:lavatory" "glass:cup" "ugly:hideous" "glass:cup"
"sweets:candy" "run:sprint" "beautiful:pretty" "boat:ship" "boat:ship" "sweets:candy"
"tedious:monotonous" "large:big" "bathroom:restroom" "kid:child" "kid:child" "tedious:monotonous"
"make:manufacture" "careful:cautious" "urban:city" "old:mature" "careful:cautious" "urban:city"
"teach:instruct" "raise:elevate" "bathroom:lavatory" "seat:chair" "seat:chair" "raise:elevate"
"house:dwelling" "couch:sofa" "dress:frock" "restroom:bathroom" "house:dwelling" "dress:frock"
"candy:sweets" "dream:fantasize" "big:large" "spin:twirl" "big:large" "dream:fantasize"
"stick:attach" "clean:tidy" "music:tunes" "cellphone:mobile" "music:tunes" "clean:tidy"
"sleep:doze" "ugly:hideous" "house:abode" "cute:adorable" "ugly:hideous" "sleep:doze"
"spectacles:glasses" "room:chamber" "flammable:inflammable" "organization:club" "room:chamber" "spectacles:glasses"
"option:choice" "pants:trousers" "pretty:beautiful" "house:home" "house:home" "option:choice"
"sofa:chair" "abode:house" "glass:cup" "raise:elevate" "raise:elevate" "glass:cup"
