"art:abstract" "bread:wheat" "pet:dog" "dog:pet" "dog:pet" "pet:dog"
"mammal:porpoise" "bush:astilbe" "tree:oak" "insect:ant" "bush:astilbe" "tree:oak"
"animal:carabao" "footwear:boot" "politician:senator" "automobile:van" "animal:carabao" "footwear:boot"
"fruit:grape" "furniture:couch" "appliance:refrigerator" "pet:dog" "pet:dog" "appliance:refrigerator"
"oak:tree" "weapon:spear" "pen:ballpoint" "furniture:chair" "pen:ballpoint" "weapon:spear"
"bread:wheat" "car:mustang" "couch:furniture" "rodent:mouse" "rodent:mouse" "bread:wheat"
"jewelry:ring" "tree:ash" "clothing:shirt" "art:abstract" "art:abstract" "clothing:shirt"
"color:red" "vegetable:carrot" "hair:brown" "weather:rain" "vegetable:carrot" "weather:rain"
"wheat:bread" "sweater:knit" "dog:pet" "dog:poodle" "dog:pet" "sweater:knit"
"bird:swan" "sweater:knit" "appliance:refrigerator" "fruit:grape" "bird:swan" "appliance:refrigerator"
"bird:robin" "dog:poodle" "pen:ballpoint" "insect:ant" "pen:ballpoint" "insect:ant"
"bread:wheat" "vegetable:carrot" "song:opera" "tree:oak" "tree:oak" "song:opera"
"currency:dollar" "hair:brown" "oak:tree" "wheat:bread" "currency:dollar" "oak:tree"
"jewelry:ring" "automobile:van" "tree:ash" "weapon:spear" "weapon:spear" "tree:ash"
"mammal:porpoise" "color:red" "rodent:mouse" "dollar:currency" "dollar:currency" "color:red"
"weather:rain" "animal:carabao" "footwear:boot" "clothing:shirt" "weather:rain" "clothing:shirt"
"dog:pet" "furniture:couch" "car:mustang" "bush:azalea" "dog:pet" "car:mustang"
"politician:senator" "dog:chihuahua" "art:abstract" "bush:astilbe" "bush:astilbe" "art:abstract"
"school:university" "furniture:chair" "couch:furniture" "pet:dog" "pet:dog" "school:university"
"animal:pig" "jewelry:ring" "couch:furniture" "animal:carabao" "animal:pig" "animal:carabao"
"pet:dog" "school:university" "fruit:grape" "rodent:mouse" "pet:dog" "school:university"
"dog:poodle" "color:red" "bush:astilbe" "insect:ant" "bush:astilbe" "insect:ant"
"animal:pig" "footwear:boot" "wheat:bread" "bush:azalea" "animal:pig" "wheat:bread"
"weapon:spear" "hair:brown" "dog:chihuahua" "vegetable:carrot" "weapon:spear" "vegetable:carrot"
"mammal:porpoise" "sweater:knit" "weather:rain" "tree:ash" "weather:rain" "sweater:knit"
"bird:swan" "bread:wheat" "tree:oak" "clothing:shirt" "tree:oak" "bird:swan"
"politician:senator" "dog:pet" "song:opera" "appliance:refrigerator" "dog:pet" "appliance:refrigerator"
"art:abstract" "pen:ballpoint" "bird:robin" "dollar:currency" "pen:ballpoint" "dollar:currency"
"car:mustang" "automobile:van" "currency:dollar" "oak:tree" "currency:dollar" "oak:tree"
"furniture:chair" "furniture:couch" "mammal:porpoise" "bread:wheat" "furniture:chair" "bread:wheat"
