"refinery:gas" "lyrics:songwriter" "books:scholar" "words:letters" "lyrics:songwriter" "books:scholar"
"mall:shops" "letters:words" "house:residents" "tree:bark" "tree:bark" "mall:shops"
"vintner:wine" "refinery:gas" "library:books" "bird:wings" "vintner:wine" "bird:wings"
"shrubs:roots" "investor:investments" "teacher:students" "words:letters" "shrubs:roots" "teacher:students"
"bee:beehive" "lyrics:songwriter" "proprietor:employees" "jug:milk" "bee:beehive" "proprietor:employees"
"house:residents" "college:teachers" "proprietor:employees" "tree:bark" "college:teachers" "tree:bark"
"teacher:students" "bird:wings" "refinery:gas" "songwriter:lyrics" "teacher:students" "bird:wings"
"expert:experience" "teacher:chalk" "mall:shops" "scholar:books" "scholar:books" "mall:shops"
"professor:students" "shrubs:roots" "lawyer:clients" "books:scholar" "lawyer:clients" "shrubs:roots"
"garden:vegetables" "students:teacher" "mother:children" "doctor:phd" "students:teacher" "garden:vegetables"
"gas:refinery" "vintner:wine" "library:books" "bee:beehive" "vintner:wine" "bee:beehive"
"bird:feathers" "librarian:books" "mansion:rooms" "musician:music" "musician:music" "librarian:books"
"lyrics:songwriter" "farmer:crops" "words:letters" "baker:bread" "baker:bread" "farmer:crops"
"doctor:degree" "bank:money" "investor:investments" "employee:job" "bank:money" "employee:job"
"mammal:hair" "letters:words" "homeowner:home" "homeowner:door" "homeowner:home" "letters:words"
"farmer:crops" "bird:feathers" "students:teacher" "scholar:books" "scholar:books" "students:teacher"
"songwriter:lyrics" "college:teachers" "teacher:students" "doctor:phd" "college:teachers" "teacher:students"
"house:residents" "bee:beehive" "lyrics:songwriter" "mall:shops" "mall:shops" "bee:beehive"
"refinery:gas" "garden:vegetables" "homeowner:home" "shrubs:roots" "shrubs:roots" "homeowner:home"
"librarian:books" "professor:students" "homeowner:door" "baker:bread" "baker:bread" "librarian:books"
"teacher:chalk" "mansion:rooms" "library:books" "letters:words" "letters:words" "library:books"
"gas:refinery" "musician:music" "vintner:wine" "tree:bark" "musician:music" "tree:bark"
"mammal:hair" "investor:investments" "expert:experience" "words:letters" "expert:experience" "mammal:hair"
"bird:wings" "employee:job" "mother:children" "jug:milk" "employee:job" "bird:wings"
"doctor:degree" "lawyer:clients" "books:scholar" "bank:money" "lawyer:clients" "bank:money"
"proprietor:employees" "songwriter:lyrics" "shrubs:roots" "lyrics:songwriter" "shrubs:roots" "proprietor:employees"
"letters:words" "refinery:gas" "college:teachers" "doctor:degree" "college:teachers" "letters:words"
"investor:investments" "library:books" "homeowner:door" "tree:bark" "tree:bark" "library:books"
"proprietor:employees" "expert:experience" "mansion:rooms" "mother:children" "expert:experience" "proprietor:employees"
"bird:wings" "farmer:crops" "homeowner:home" "teacher:chalk" "farmer:crops" "homeowner:home"
"vintner:wine" "books:scholar" "teacher:students" "students:teacher" "students:teacher" "teacher:students"
"lawyer:clients" "employee:job" "mammal:hair" "scholar:books" "scholar:books" "lawyer:clients"
"bank:money" "librarian:books" "words:letters" "bird:feathers" "bank:money" "librarian:books"
"musician:music" "gas:refinery" "doctor:phd" "professor:students" "musician:music" "professor:students"
"jug:milk" "baker:bread" "garden:vegetables" "house:residents" "baker:bread" "garden:vegetables"
"bee:beehive" "mall:shops" "garden:vegetables" "mother:children" "mall:shops" "bee:beehive"
