"refinery:gas" "lyrics:songwriter" "books:scholar" "words:letters" "lyrics:songwriter" "books:scholar"
"songwriter:lyrics" "bird:feathers" "letters:words" "homeowner:home" "bird:feathers" "homeowner:home"
"jug:milk" "tree:bark" "words:letters" "scholar:books" "tree:bark" "scholar:books"
"lyrics:songwriter" "bird:feathers" "college:teachers" "gas:refinery" "bird:feathers" "lyrics:songwriter"
"musician:music" "mansion:rooms" "doctor:phd" "students:teacher" "musician:music" "mansion:rooms"
"letters:words" "farmer:crops" "jug:milk" "words:letters" "farmer:crops" "letters:words"
"proprietor:employees" "vintner:wine" "lawyer:clients" "bee:beehive" "vintner:wine" "bee:beehive"
"library:books" "garden:vegetables" "tree:bark" "mammal:hair" "garden:vegetables" "tree:bark"
"employee:job" "doctor:degree" "songwriter:lyrics" "scholar:books" "employee:job" "scholar:books"
"professor:students" "expert:experience" "mother:children" "books:scholar" "professor:students" "expert:experience"
"bank:money" "teacher:chalk" "shrubs:roots" "teacher:students" "bank:money" "teacher:students"
"baker:bread" "homeowner:home" "homeowner:door" "bird:wings" "baker:bread" "bird:wings"
"mall:shops" "refinery:gas" "librarian:books" "house:residents" "librarian:books" "house:residents"
"investor:investments" "teacher:chalk" "bird:feathers" "garden:vegetables" "garden:vegetables" "investor:investments"
"students:teacher" "words:letters" "refinery:gas" "gas:refinery" "refinery:gas" "students:teacher"
"expert:experience" "librarian:books" "mansion:rooms" "vintner:wine" "librarian:books" "vintner:wine"
"farmer:crops" "scholar:books" "homeowner:home" "tree:bark" "tree:bark" "farmer:crops"
"employee:job" "letters:words" "bird:wings" "mammal:hair" "employee:job" "bird:wings"
"teacher:students" "professor:students" "house:residents" "investor:investments" "investor:investments" "professor:students"
"mall:shops" "songwriter:lyrics" "proprietor:employees" "bank:money" "bank:money" "songwriter:lyrics"
"college:teachers" "mother:children" "baker:bread" "lawyer:clients" "baker:bread" "mother:children"
"shrubs:roots" "jug:milk" "musician:music" "lyrics:songwriter" "musician:music" "shrubs:roots"
"library:books" "bee:beehive" "books:scholar" "doctor:degree" "bee:beehive" "library:books"
"doctor:phd" "homeowner:door" "mansion:rooms" "songwriter:lyrics" "mansion:rooms" "homeowner:door"
"homeowner:door" "garden:vegetables" "farmer:crops" "employee:job" "garden:vegetables" "farmer:crops"
"students:teacher" "teacher:chalk" "musician:music" "jug:milk" "musician:music" "teacher:chalk"
"gas:refinery" "homeowner:home" "scholar:books" "books:scholar" "homeowner:home" "scholar:books"
"expert:experience" "baker:bread" "mother:children" "lawyer:clients" "baker:bread" "expert:experience"
"bank:money" "doctor:degree" "professor:students" "doctor:phd" "bank:money" "professor:students"
"college:teachers" "librarian:books" "bird:feathers" "mammal:hair" "librarian:books" "bird:feathers"
"mall:shops" "letters:words" "house:residents" "tree:bark" "tree:bark" "house:residents"
"vintner:wine" "refinery:gas" "library:books" "bird:wings" "bird:wings" "vintner:wine"
"shrubs:roots" "investor:investments" "teacher:students" "words:letters" "investor:investments" "teacher:students"
"bee:beehive" "lyrics:songwriter" "proprietor:employees" "jug:milk" "bee:beehive" "lyrics:songwriter"
"house:residents" "college:teachers" "proprietor:employees" "tree:bark" "tree:bark" "house:residents"
"teacher:students" "bird:wings" "refinery:gas" "songwriter:lyrics" "bird:wings" "songwriter:lyrics"
"expert:experience" "teacher:chalk" "mall:shops" "scholar:books" "expert:experience" "scholar:books"
"professor:students" "shrubs:roots" "lawyer:clients" "books:scholar" "professor:students" "shrubs:roots"
"garden:vegetables" "students:teacher" "mother:children" "doctor:phd" "garden:vegetables" "mother:children"
"gas:refinery" "vintner:wine" "library:books" "bee:beehive" "vintner:wine" "bee:beehive"
"bird:feathers" "librarian:books" "mansion:rooms" "musician:music" "librarian:books" "musician:music"
"lyrics:songwriter" "farmer:crops" "words:letters" "baker:bread" "farmer:crops" "baker:bread"
"doctor:degree" "bank:money" "investor:investments" "employee:job" "investor:investments" "employee:job"
"mammal:hair" "letters:words" "homeowner:home" "homeowner:door" "homeowner:home" "letters:words"
"farmer:crops" "bird:feathers" "students:teacher" "scholar:books" "farmer:crops" "bird:feathers"
"songwriter:lyrics" "college:teachers" "teacher:students" "doctor:phd" "songwriter:lyrics" "teacher:students"
"house:residents" "bee:beehive" "lyrics:songwriter" "mall:shops" "house:residents" "bee:beehive"
"refinery:gas" "garden:vegetables" "homeowner:home" "shrubs:roots" "garden:vegetables" "homeowner:home"
"librarian:books" "professor:students" "homeowner:door" "baker:bread" "baker:bread" "librarian:books"
"teacher:chalk" "mansion:rooms" "library:books" "letters:words" "mansion:rooms" "letters:words"
"gas:refinery" "musician:music" "vintner:wine" "tree:bark" "tree:bark" "musician:music"
"mammal:hair" "investor:investments" "expert:experience" "words:letters" "investor:investments" "expert:experience"
"bird:wings" "employee:job" "mother:children" "jug:milk" "employee:job" "bird:wings"
"doctor:degree" "lawyer:clients" "books:scholar" "bank:money" "bank:money" "doctor:degree"
"proprietor:employees" "songwriter:lyrics" "shrubs:roots" "lyrics:songwriter" "songwriter:lyrics" "shrubs:roots"
"letters:words" "refinery:gas" "college:teachers" "doctor:degree" "letters:words" "doctor:degree"
"investor:investments" "library:books" "homeowner:door" "tree:bark" "tree:bark" "investor:investments"
"proprietor:employees" "expert:experience" "mansion:rooms" "mother:children" "expert:experience" "mother:children"
"bird:wings" "farmer:crops" "homeowner:home" "teacher:chalk" "farmer:crops" "bird:wings"
"vintner:wine" "books:scholar" "teacher:students" "students:teacher" "vintner:wine" "teacher:students"
"lawyer:clients" "employee:job" "mammal:hair" "scholar:books" "employee:job" "scholar:books"
"bank:money" "librarian:books" "words:letters" "bird:feathers" "librarian:books" "bank:money"
"musician:music" "gas:refinery" "doctor:phd" "professor:students" "musician:music" "professor:students"
"jug:milk" "baker:bread" "garden:vegetables" "house:residents" "garden:vegetables" "baker:bread"
"bee:beehive" "mall:shops" "garden:vegetables" "mother:children" "garden:vegetables" "mother:children"
