"refinery:gas" "lyrics:songwriter" "books:scholar" "words:letters" "refinery:gas" "books:scholar"
"employee:job" "doctor:degree" "songwriter:lyrics" "scholar:books" "employee:job" "scholar:books"
"professor:students" "expert:experience" "mother:children" "books:scholar" "mother:children" "expert:experience"
"bank:money" "teacher:chalk" "shrubs:roots" "teacher:students" "shrubs:roots" "bank:money"
"baker:bread" "homeowner:home" "homeowner:door" "bird:wings" "baker:bread" "homeowner:home"
"mall:shops" "refinery:gas" "librarian:books" "house:residents" "house:residents" "mall:shops"
"investor:investments" "teacher:chalk" "bird:feathers" "garden:vegetables" "investor:investments" "garden:vegetables"
"students:teacher" "words:letters" "refinery:gas" "gas:refinery" "students:teacher" "refinery:gas"
"expert:experience" "librarian:books" "mansion:rooms" "vintner:wine" "vintner:wine" "mansion:rooms"
"farmer:crops" "scholar:books" "homeowner:home" "tree:bark" "farmer:crops" "tree:bark"
"employee:job" "letters:words" "bird:wings" "mammal:hair" "employee:job" "bird:wings"
"teacher:students" "professor:students" "house:residents" "investor:investments" "investor:investments" "house:residents"
"mall:shops" "songwriter:lyrics" "proprietor:employees" "bank:money" "bank:money" "proprietor:employees"
"college:teachers" "mother:children" "baker:bread" "lawyer:clients" "mother:children" "lawyer:clients"
"shrubs:roots" "jug:milk" "musician:music" "lyrics:songwriter" "shrubs:roots" "musician:music"
"library:books" "bee:beehive" "books:scholar" "doctor:degree" "library:books" "bee:beehive"
"doctor:phd" "homeowner:door" "mansion:rooms" "songwriter:lyrics" "mansion:rooms" "homeowner:door"
"homeowner:door" "garden:vegetables" "farmer:crops" "employee:job" "garden:vegetables" "farmer:crops"
"students:teacher" "teacher:chalk" "musician:music" "jug:milk" "musician:music" "students:teacher"
"gas:refinery" "homeowner:home" "scholar:books" "books:scholar" "scholar:books" "homeowner:home"
"expert:experience" "baker:bread" "mother:children" "lawyer:clients" "mother:children" "lawyer:clients"
"bank:money" "doctor:degree" "professor:students" "doctor:phd" "bank:money" "professor:students"
"college:teachers" "librarian:books" "bird:feathers" "mammal:hair" "college:teachers" "librarian:books"
"mall:shops" "letters:words" "house:residents" "tree:bark" "house:residents" "tree:bark"
"vintner:wine" "refinery:gas" "library:books" "bird:wings" "vintner:wine" "bird:wings"
"shrubs:roots" "investor:investments" "teacher:students" "words:letters" "shrubs:roots" "investor:investments"
"bee:beehive" "lyrics:songwriter" "proprietor:employees" "jug:milk" "proprietor:employees" "bee:beehive"
"house:residents" "college:teachers" "proprietor:employees" "tree:bark" "house:residents" "tree:bark"
"teacher:students" "bird:wings" "refinery:gas" "songwriter:lyrics" "teacher:students" "bird:wings"
"expert:experience" "teacher:chalk" "mall:shops" "scholar:books" "scholar:books" "expert:experience"
"professor:students" "shrubs:roots" "lawyer:clients" "books:scholar" "shrubs:roots" "lawyer:clients"
"garden:vegetables" "students:teacher" "mother:children" "doctor:phd" "mother:children" "garden:vegetables"
"gas:refinery" "vintner:wine" "library:books" "bee:beehive" "vintner:wine" "library:books"
"bird:feathers" "librarian:books" "mansion:rooms" "musician:music" "mansion:rooms" "musician:music"
"lyrics:songwriter" "farmer:crops" "words:letters" "baker:bread" "baker:bread" "farmer:crops"
"doctor:degree" "bank:money" "investor:investments" "employee:job" "investor:investments" "bank:money"
"mammal:hair" "letters:words" "homeowner:home" "homeowner:door" "homeowner:home" "homeowner:door"
"farmer:crops" "bird:feathers" "students:teacher" "scholar:books" "farmer:crops" "scholar:books"
"songwriter:lyrics" "college:teachers" "teacher:students" "doctor:phd" "college:teachers" "teacher:students"
"house:residents" "bee:beehive" "lyrics:songwriter" "mall:shops" "house:residents" "mall:shops"
"refinery:gas" "garden:vegetables" "homeowner:home" "shrubs:roots" "shrubs:roots" "garden:vegetables"
"librarian:books" "professor:students" "homeowner:door" "baker:bread" "baker:bread" "professor:students"
"teacher:chalk" "mansion:rooms" "library:books" "letters:words" "mansion:rooms" "library:books"
"gas:refinery" "musician:music" "vintner:wine" "tree:bark" "vintner:wine" "tree:bark"
"mammal:hair" "investor:investments" "expert:experience" "words:letters" "investor:investments" "expert:experience"
"bird:wings" "employee:job" "mother:children" "jug:milk" "mother:children" "employee:job"
"doctor:degree" "lawyer:clients" "books:scholar" "bank:money" "lawyer:clients" "bank:money"
"proprietor:employees" "songwriter:lyrics" "shrubs:roots" "lyrics:songwriter" "shrubs:roots" "proprietor:employees"
"letters:words" "refinery:gas" "college:teachers" "doctor:degree" "college:teachers" "doctor:degree"
"investor:investments" "library:books" "homeowner:door" "tree:bark" "investor:investments" "tree:bark"
"proprietor:employees" "expert:experience" "mansion:rooms" "mother:children" "mother:children" "mansion:rooms"
"bird:wings" "farmer:crops" "homeowner:home" "teacher:chalk" "farmer:crops" "homeowner:home"
"vintner:wine" "books:scholar" "teacher:students" "students:teacher" "vintner:wine" "students:teacher"
"lawyer:clients" "employee:job" "mammal:hair" "scholar:books" "lawyer:clients" "employee:job"
"bank:money" "librarian:books" "words:letters" "bird:feathers" "bank:money" "librarian:books"
"musician:music" "gas:refinery" "doctor:phd" "professor:students" "musician:music" "professor:students"
"jug:milk" "baker:bread" "garden:vegetables" "house:residents" "house:residents" "baker:bread"
"bee:beehive" "mall:shops" "garden:vegetables" "mother:children" "mother:children" "garden:vegetables"
